2021-01-11,"CarLotz to Launch Nationwide Hub Network, Bringing a Better Used Vehicle Buying and Selling Experience to More of North America"
2021-01-08,CarLotz Announces Approval of Merger Transaction by its Stockholders
2021-01-07,SHAREHOLDER ALERT: Monteverde & Associates Continues to Investigate the Following Merger
2021-01-07,"SHAREHOLDER ALERT: WeissLaw LLP Reminds VSPR, CIT, ACAM, and CBMG Shareholders About Its Ongoing Investigations"
2021-01-07,CarLotz Nominates Four New Members to Its Board of Directors
2021-01-06,"CarLotz, Inc. Announces Participation in the 2021 ICR Conference"
2021-01-04,SHAREHOLDER ALERT: Monteverde & Associates Continues to Investigate the Following Merger
2020-12-31,"SHAREHOLDER ALERT: WeissLaw LLP Reminds FSKR, OAC, ACAM, and EXPC Shareholders About Its Ongoing Investigations"
2020-12-23,STOCKHOLDER ALERT: Monteverde & Associates Continues to Investigate the Following Merger
2020-12-17,"SHAREHOLDER ALERT: WeissLaw LLP Reminds SFBK, ACAM, CBLI, and UROV Shareholders About Its Ongoing Investigations"
2020-12-16,"CarLotz, Inc. Announces Record Third Quarter 2020 Financial Results"
2020-12-10,CarLotz Appoints Michael Chapman as Chief Marketing Officer
2020-12-10,"SHAREHOLDER ALERT: WeissLaw LLP Reminds BMCH, RESI, SFBK, and ACAM Shareholders About Its Ongoing Investigations"
2020-12-02,"SHAREHOLDER ALERT: WeissLaw LLP Reminds BMCH, RESI, SFBK, and ACAM Shareholders About Its Ongoing Investigations"
2020-12-02,"NOTICE - IMPORTANT SHAREHOLDER INVESTIGATION UPDATE: Brodsky & Smith, LLC Reminds Investors of Investigations Related to the Following Companies: Longview Acquisition Corp. (NYSE:LGVW), Acamar Partners Acquisition Corp. (NASDAQ:ACAM), Northern Genesis Acquisition Corp. (NYSE:NGA)"
2020-11-25,"SHAREHOLDER ALERT: WeissLaw LLP Reminds RESI, SFBK, ACAM, and EV Shareholders About Its Ongoing Investigations"
2020-11-18,"SHAREHOLDER ALERT: WeissLaw LLP Reminds PE, GHIV, CCX, and ACAM Shareholders About Its Ongoing Investigations"
2020-11-17,CarLotz Appoints Tom Stoltz as Chief Financial Officer
2020-11-14,"Used Car Disruptor Joining Carvana, Vroom in Bid to Move Industry Online"
2020-11-10,CarLotz Names Becca Polak as Chief Commercial Officer and General Counsel
2020-11-06,"SHAREHOLDER ALERT: WeissLaw LLP Reminds ACAM, TPRE, SMMCU, and RESI Shareholders About Its Ongoing Investigations"
2020-11-02,SHAREHOLDER ALERT: Monteverde & Associates PC Announces an Investigation of Acamar Partners Acquisition Corp. - ACAM
2020-10-30,"Carlotz, Inc to Participate Virtually at Upcoming Investor Conferences"
2020-10-27,SHAREHOLDER ALERT: WeissLaw LLP Investigates Acamar Partners Acquisition Corp.
2020-10-25,"4 SPAC Mergers: What The KBLM, ACAM, PANA And SMMC Deals Mean For Investors"
2020-10-22,"SHAREHOLDER NOTICE: Brodsky & Smith, LLC Announces an Investigation of Acamar Partners Acquisition Corp. (Nasdaq - ACAM)"
2020-10-22,"CarLotz, Inc., One of the Largest Privately-Held Used Vehicle Retail Disruptors with the Industrys Only Consignment-to-Retail Sales Platform, to Become a Public Company"
2020-10-22,Used car consignment store CarLotz agrees deal to go public
