2021-01-08,AzurRx BioPharma CEO Issues Letter to Shareholders
2021-01-07,AzurRx BioPharma to Participate in Biotech Showcase Digital 2021 Conference
2021-01-06,AzurRx BioPharma to Participate in H.C. Wainwright BioConnect 2021 Virtual Conference
2021-01-05,AzurRx BioPharma to Participate in 10th Annual LifeSci Partners Corporate Access Event
2021-01-04,AzurRx BioPharma Announces Exclusive Worldwide License Agreement with First Wave Bio for Use of Proprietary Niclosamide Formulations to Treat Immune Checkpoint Inhibitor-Associated Colitis and COVID-19 Gastrointestinal Infections
2021-01-04,AzurRx BioPharma Announces $8.0 Million Offerings
2020-11-30,AzurRx BioPharma Announces First Patients Dosed in Turkey for Phase 2 Combination Therapy Trial of MS1819 in Cystic Fibrosis Patients with Severe Exocrine Pancreatic Insufficiency
2020-11-24,InvestorBrandNetwork (IBN) Announces Latest Episode of Stock2Me Podcast Featuring AzurRx Biopharma Inc. President & CEO James Sapirstein
2020-11-17,AzurRx BioPharma Requests Protocol Amendment to Phase 2b OPTION 2 Study of MS1819 in Cystic Fibrosis Patients
2020-11-10,AzurRx BioPharma Identifies Asymchem as Potential Partner of Choice for MS1819 Phase 3 Clinical Trial Drug Production
2020-10-29,"AzurRx BioPharma Provides Insight into Drawbacks of Using Porcine Products in Production of Pharmaceuticals and Medicinals, Offers Update on Efforts to Produce Synthetic Alternatives"
2020-10-21,AzurRx BioPharma Announces Formation of Scientific Advisory Board
2020-10-14,AzurRx BioPharma Activates Additional Clinical Trial Sites in Turkey for Phase 2 Combination Therapy Trial of MS1819 in Cystic Fibrosis
2020-10-07,AzurRx BioPharma CEO Issues Letter to Shareholders
2020-09-15,AzurRx BioPharma Announces Two Abstracts Accepted for Presentation at the 2020 North American Cystic Fibrosis Virtual Conference
2020-08-31,LD Micro: 360 Companies - Set to Present this Week
2020-08-31,AzurRx BioPharma to Present at the 2020 H.C. Wainwright 22nd Annual Global Investment Conference (September 14) and the LD 500 Virtual Conference (September 4)
2020-08-26,AZRX: 1H:21 Readout for OPTION 2 and Combo Trials
2020-08-17,AzurRx BioPharma Initiates European Arm of Phase 2b OPTION 2 Clinical Trial of MS1819 in Cystic Fibrosis
2020-08-13,AzurRx BioPharma Announces First Patients Dosed in Phase 2b OPTION 2 Clinical Trial of MS1819 in Cystic Fibrosis
2020-08-12,AzurRx BioPharma CEO Issues Clarifying Statement to Shareholders
2020-08-12,AZRX: MS1819 Update: Interim Data
2020-08-12,"The Daily Biotech Pulse: India Globalization Gets Nod For Alzheimer's Trial, Moderna's Vaccine Deal With US, Cellular Biomedicine To Go Private"
2020-08-11,AzurRx BioPharma Announces Positive Interim Data From First Patient Cohort in Phase 2 Clinical Trial of MS1819 in Combination with PERT Therapy in the Treatment of Cystic Fibrosis Patients with Severe Exocrine Pancreatic Insufficiency
2020-08-05,LD Micro Announces Preliminary List of Presenters for the LD-500.
2020-07-27,"AZRX: Capital Raise, OPTION 2 Trial Underway"
2020-07-22,"SHAREHOLDER ALERT: Purcell Julie & Lefkowitz LLP Is Investigating AzurRx BioPharma, Inc. for Potential Breaches of Fiduciary Duty By Its Board of Directors"
2020-07-22,AzurRx BioPharma Initiates Phase 2b Clinical Trial of MS1819 in Cystic Fibrosis  with First Patient Screened and Three Clinical Trial Sites Activated
2020-07-21,"Alexander Capital, L.P. Congratulates AzurRx BioPharma on $15.2 Million Private Placement and $6.9 Million Convertible Note Exchange"
2020-07-20,AzurRx BioPharma Closes $15.2 Million Private Placement and $6.9 Million Convertible Note Exchange
2020-06-01,AZRX: Next Up: OPTION 2
2020-05-29,"Here is What Hedge Funds Think About AzurRx BioPharma, Inc. (AZRX)"
2020-05-07,"AzurRx BioPharma Announces Entry into Packaging, Labeling and Distribution Agreement with Creapharm Clinical Supplies for MS1819 Clinical Trial Drug Product"
2020-05-05,"AzurRx BioPharma Receives Approximately $721,000 for its 2019 CIR (French Research Tax Credit)"
2020-05-04,"What Kind Of Share Price Volatility Should You Expect For AzurRx BioPharma, Inc. (NASDAQ:AZRX)?"
2020-04-30,AzurRx BioPharma Receives Insititutional Review Board Approval to Commence its Phase 2 OPTION 2 Clinical Trial of MS1819 in Cystic Fibrosis
