2020-11-23,Insider Buys Bank of the James Finl Group's Stock
2020-10-23,"Bank of the James Announces Third Quarter, Nine Months of 2020 Financial Results and Declaration of Dividend"
2020-07-24,"Bank of the James Announces Second Quarter, First Half 2020 Financial Results and Declaration of Dividend"
2020-07-09,Bank of the James Announces Completion of Private Placement of Debt
2020-05-01,"Key Things To Consider Before Buying Bank of the James Financial Group, Inc. (NASDAQ:BOTJ) For Its Dividend"
2020-04-24,Bank of the James Announces First Quarter 2020 Financial Results and Declaration of Dividend
2020-03-26,"A Sliding Share Price Has Us Looking At Bank of the James Financial Group, Inc.'s (NASDAQ:BOTJ) P/E Ratio"
2020-02-29,"Why You Might Be Interested In Bank of the James Financial Group, Inc. (NASDAQ:BOTJ) For Its Upcoming Dividend"
2020-01-24,"Bank of the James Announces Fourth Quarter, Full Year 2019 Financial Results and Declaration of Dividend"
2020-01-15,"Should You Be Pleased About The CEO Pay At Bank of the James Financial Group, Inc.'s (NASDAQ:BOTJ)"
2019-12-10,Investors Who Bought Bank of the James Financial Group (NASDAQ:BOTJ) Shares Five Years Ago Are Now Up 45%
2019-11-22,Bank of the James Announces Declaration of Special Dividend
2019-10-26,"Did Bank of the James Financial Group, Inc. (NASDAQ:BOTJ) Insiders Buy Up More Shares?"
2019-10-18,"Bank of the James Announces Third Quarter, Nine Months of 2019 Financial Results and Declaration of Dividend"
2019-09-26,If You Like EPS Growth Then Check Out Bank of the James Financial Group (NASDAQ:BOTJ) Before It's Too Late
2019-08-31,"Should You Buy Bank of the James Financial Group, Inc. (NASDAQ:BOTJ) For Its Upcoming Dividend In 4 Days?"
2019-08-28,"Does Bank of the James Financial Group, Inc. (NASDAQ:BOTJ) Have A Place In Your Dividend Portfolio?"
2019-08-02,"Does Bank of the James Financial Group, Inc.'s (NASDAQ:BOTJ) CEO Pay Compare Well With Peers?"
2019-07-19,"Bank of the James Announces Second Quarter, First Half 2019 Financial Results"
2019-07-03,"If You Had Bought Bank of the James Financial Group (NASDAQ:BOTJ) Stock Five Years Ago, You Could Pocket A 64% Gain Today"
2019-05-14,"Could The Bank of the James Financial Group, Inc. (NASDAQ:BOTJ) Ownership Structure Tell Us Something Useful?"
2019-04-26,Bank of the James Announces First Quarter 2019 Financial Results and Declaration of Dividend
2019-03-22,Bank of the James Financial Group Inc (BOTJ) Files 10-K for the Fiscal Year Ended on December ...
2019-03-11,"Why These Fundamentals Make Bank of the James Financial Group, Inc.s (NASDAQ:BOTJ) More Attractive"
2019-02-07,"Have You Considered These Key Risks For Bank of the James Financial Group, Inc. (NASDAQ:BOTJ)?"
