2021-01-11,Cree Delivers Industry Leading Efficiency to Electric Vehicle Fast Charging and Solar Markets with New Silicon Carbide Power Module Portfolio
2021-01-10,"Cree, Inc.'s (NASDAQ:CREE) Intrinsic Value Is Potentially 31% Above Its Share Price"
2020-12-21,Is CREE A Good Stock To Buy According To Hedge Funds?
2020-12-07,Cree (CREE) Consolidates After Morgan Stanley Downgrade
2020-12-05,Our Take On Cree's (NASDAQ:CREE) CEO Salary
2020-11-30,"Cree, Inc. to Present at Upcoming Virtual Investor Conferences"
2020-11-12,Cree Shows Market Leadership With Jump To 83 RS Rating
2020-11-11,What a Biden Presidency Means for Energy Stocks
2020-11-11,These Stocks Could Rise Further as Biden Takes on Climate Change
2020-11-02,"Caladrius Biosciences Appoints Industry Veteran, Anne Whitaker, to Board of Directors"
2020-10-30,"Downgrade: Here's How Analysts See Cree, Inc. (NASDAQ:CREE) Performing In The Near Term"
2020-10-29,"Cree (CREE) Q1 Loss Narrower Than Estimated, Revenues Beat"
2020-10-28,"Cree (CREE) Reports Q1 Loss, Tops Revenue Estimates"
2020-10-28,Cree: Q1 Earnings Insights
2020-10-28,Cree Reports Financial Results for the First Quarter of Fiscal Year 2021
2020-10-27,Earnings Outlook for Cree
2020-10-22,"Cree, Inc. to Report First Quarter Fiscal 2021 Earnings on October 28, 2020"
2020-10-19,SMART Global Holdings to Acquire Crees LED Business
2020-10-19,"Cree, Inc. to sell LED Business to SMART Global Holdings, Inc. for up to $300 Million"
2020-10-15,Is Cree (NASDAQ:CREE) Using Debt Sensibly?
2020-09-17,Cree (CREE) Up 3.3% Since Last Earnings Report: Can It Continue?
2020-09-15,Investors Who Bought Cree (NASDAQ:CREE) Shares Five Years Ago Are Now Up 154%
2020-08-18,"Cree (CREE) Reports Q4 Loss, Tops Revenue Estimates"
2020-08-18,Cree stock declines as wider-than-expected loss forecast
2020-08-18,Cree Reports Financial Results for the Fourth Quarter of Fiscal Year 2020
2020-08-17,Earnings Outlook For Cree
2020-08-17,Cree Is Getting Closer to a Major Long-Term Upside Breakout
2020-08-14,Cree (CREE) Set to Report Q4 Earnings: What's in the Offing?
2020-08-11,Analysts Estimate Cree (CREE) to Report a Decline in Earnings: What to Look Out for
2020-08-11,"Cree, Inc. to Report Fourth Quarter Fiscal 2020 Earnings on August 18, 2020"
2020-08-10,"Need To Know: Cree, Inc. (NASDAQ:CREE) Insiders Have Been Buying Shares"
2020-08-10,"Is There Now An Opportunity In Cree, Inc. (NASDAQ:CREE)?"
2020-07-09,"Calculating The Intrinsic Value Of Cree, Inc. (NASDAQ:CREE)"
2020-07-08,Delphi Technologies awarded new power electronics business in China
2020-06-26,"Do Hedge Funds Love Cree, Inc. (CREE)?"
2020-06-08,Yutong Group to Deliver Its First Electric Bus in China to Use Silicon Carbide in Powertrain
2020-05-29,Cree (CREE) Up 22.8% Since Last Earnings Report: Can It Continue?
2020-05-26,"Cree, Inc.'s (NASDAQ:CREE) Shift From Loss To Profit"
2020-05-20,Cree Stock Breaks Out After JPMorgan Upgrade
2020-05-13,Edited Transcript of CREE earnings conference call or presentation 29-Apr-20 9:00pm GMT
2020-04-30,"Cree (CREE) Q3 Loss Narrower Than Estimates, Revenues Lag"
2020-04-30,"What Kind Of Share Price Volatility Should You Expect For Cree, Inc. (NASDAQ:CREE)?"
2020-04-29,Cree Inc (CREE) Q3 2020 Earnings Call Transcript
2020-04-29,"Cree (CREE) Reports Q3 Loss, Lags Revenue Estimates"
2020-04-29,Cree Reports Financial Results for the Third Quarter of Fiscal Year 2020
2020-04-22,"Cree, Inc. Announces Date for Third Quarter Fiscal 2020 Earnings Release and Webcast"
2020-04-17,"Cree makes $500M play to retire debt, add cash"
2020-04-17,Cree Announces Pricing of $500 Million Convertible Senior Notes Offering
2020-04-16,Cree Announces Offering of $500 Million of Convertible Senior Notes
2020-04-10,Biz: Carys urban core (yep!) is a hot market in the Triangle; Raleigh Hall of Fame canceled for 2020
2020-04-09,Biz: Carys urban core (yep!) is a hot market in the Triangle; Raleigh Hall of Fame canceled for 2020
2020-04-04,"How Should Investors React To Cree, Inc.'s (NASDAQ:CREE) CEO Pay?"
2020-04-03,Cree (CREE) Preliminary Q3 Results Reflect Coronavirus Impact
2020-04-02,Cree Announces Preliminary Third Quarter Fiscal 2020 Results and Provides Business Update
2020-03-30,"Crees New 650V MOSFETs Offer Industry-leading Efficiency to Enable the Next Generation of Electric Vehicles, Data Centers and Solar Innovations"
2020-03-26,"Hedge Funds Have Never Been This Bullish On Cree, Inc. (CREE)"
2020-03-12,Here is a shopping list for chip stocks as coronavirus craters the market
2020-03-09,Cree (NASDAQ:CREE) Shareholders Booked A 63% Gain In The Last Three Years
2020-03-06,Infineon Deal Scrutiny Raises Trade Threat to Europe Tech Firms
2020-03-06,Trump Advised to Halt Infineon Deal Amid China Security Risk
2020-03-05,U.S. officials ask Trump to block Infineon's Cypress deal -Bloomberg News
2020-03-03,Durham company in legal fight over billboards
2020-02-28,Cree (CREE) Down 7.4% Since Last Earnings Report: Can It Rebound?
2020-02-24,"Advance Auto Parts, Cree among Triangle companies hit as stocks tumble with rising concern over coronavirus"
2020-02-12,Is Cree (NASDAQ:CREE) Using Debt In A Risky Way?
2020-02-11,Inside Cree's plans for its $1 billion Utica factory
2020-02-07,Edited Transcript of CREE earnings conference call or presentation 29-Jan-20 10:00pm GMT
2020-02-06,"S&P, NASDAQ Reach New Closing Highs on 3rd Day of Rally"
2020-02-04,From Lenovo to Cree: How coronavirus is impacting some of NC's largest companies
2020-01-30,"Cree (CREE) Q2 Loss In Line With Estimates, Revenues Fall Y/Y"
2020-01-29,Cree absorbs more hits from Huawei ban as it pushes expansion
2020-01-29,"Cree (CREE) Reports Q2 Loss, Tops Revenue Estimates"
2020-01-29,Cree Reports Financial Results for the Second Quarter of Fiscal Year 2020
2020-01-29,Relief Rally Snaps the Dow's 5-Day Losing Skid
2020-01-28,"Cree, Inc. Appoints Glenda Dorchak to Board of Directors"
2020-01-22,Cree (CREE) Expected to Beat Earnings Estimates: What to Know Ahead of Q2 Release
2020-01-22,"Cree, Inc. Announces Date for Second Quarter Fiscal 2020 Earnings Release and Webcast"
2020-01-16,State board approves $500 million grant toward Cree factory
2020-01-07,"Is It Time To Consider Buying Cree, Inc. (NASDAQ:CREE)?"
2019-12-18,"Options Traders Targeting CREE, SDC with Gusto"
2019-12-18,Cree chooses Exyte as general contractor for $1 billion upstate factory
2019-12-16,"Cree, in expansion mode, grows campus near RTP"
2019-12-13,"Hedge Funds Are Dumping Cree, Inc. (CREE)"
2019-12-02,"Are Insiders Buying Cree, Inc. (NASDAQ:CREE) Stock?"
2019-11-30,Hedge Funds Are Way More Bullish On PG&E Corp Than These Stocks
2019-11-22,State approves $500 million grant to Cree for upstate factory
2019-11-21,The reason behind Cree's $1 billion bet on a factory near Utica: Electric vehicles
2019-11-20,"Cree starts hiring in upstate New York, with plans to soon select contractor for $1 billion factory"
2019-11-19,Exclusive: Cree CEO on 'the largest materials deal in the history of silicon carbide'
2019-11-19,Cree and STMicroelectronics Expand and Extend Existing Silicon Carbide Wafer Supply Agreement
2019-11-18,Cree and ABB Announce Silicon Carbide Partnership to Deliver Automotive and Industrial Solutions
2019-11-06,Exclusive: Durham manufacturer's latest deal could be worth 'hundreds of millions'
2019-11-05,ZF and Cree Advance the Electric Drive
2019-11-04,Edited Transcript of CREE earnings conference call or presentation 30-Oct-19 9:00pm GMT
2019-11-04,Guest column: Cree decision highlights success with states long-term nanotech strategy
2019-10-31,"Cree plans to soon break ground on $1 billion Utica plant, CEO says"
2019-10-31,"Cree (CREE) Q1 Loss Narrower Than Expected, Revenues Beat"
2019-10-30,"Cree's 'transformation' remains on track despite global challenges, CEO says"
2019-10-30,"Cree (CREE) Reports Q1 Loss, Tops Revenue Estimates"
2019-10-30,Cree Reports Financial Results for the First Quarter of Fiscal Year 2020
