2021-01-08,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of December 31, 2020"
2020-12-07,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of November 30, 2020"
2020-11-06,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of October 31, 2020"
2020-10-07,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of September 30, 2020"
2020-09-08,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of August 31, 2020"
2020-08-14,"Legg Mason Partners Fund Advisor, LLC Announces Distributions for the Month of August 2020"
2020-08-14,"Closed-End Funds Advised by Legg Mason Partners Fund Advisor, LLC Announce Election To Opt In to Maryland Control Share Acquisition Act"
2020-08-07,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of July 31, 2020"
2020-07-31,"Closed-End Funds Advised or Administered by Legg Mason Partners Fund Advisor, LLC Announce that Franklin Resources, Inc. Acquired Legg Mason, Inc."
2020-07-28,Announce Completion of Reverse Stock Splits
2020-07-14,"ClearBridge MLP and Midstream Fund Inc. (NYSE: CEM), ClearBridge Energy Midstream Opportunity Fund Inc. (NYSE: EMO), and ClearBridge MLP and Midstream Total Return Fund Inc. (NYSE: CTR) Announce Board Approval of Reverse Stock Splits"
2020-07-08,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of June 30, 2020"
2020-07-07,"Closed-End Funds Advised By Legg Mason Partners Fund Advisor, LLC Announce Results of Special Meetings of Shareholders"
2020-06-08,"Certain Closed-End Funds Announce Adjournment and Rescheduling of June 5, 2020 Special Meeting of Shareholders"
2020-06-05,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of May 31, 2020"
2020-05-13,"Legg Mason Partners Fund Advisor, LLC Announces Distributions for the Month of May 2020"
2020-05-07,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of April 30, 2020"
2020-05-07,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of March 31, 2020"
2020-04-07,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of March 31, 2020"
2020-04-02,"Closed-End Funds Advised by Legg Mason Partners Fund Advisor, LLC Announce Board Approval of New Management and Subadvisory Contracts"
2020-03-25,ClearBridge MLP And Midstream Total Return Fund Inc. Announces Results of Annual Meeting of Shareholders
2020-03-24,ClearBridge Investments Energy Midstream Closed-End Funds Conference Call Replay and Transcript Now Available
2020-03-13,"ClearBridge Investments to Host an Energy Midstream Closed-End Funds Conference Call on March 17, 2020"
2020-03-09,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of February 29, 2020"
2020-03-03,"Closed-End Funds Advised by Legg Mason Partners Fund Advisor, LLC Announce Record Date and Meeting Date for Special Meeting of Stockholders"
2020-02-19,"Closed-End Funds Advised by Legg Mason Partners Fund Advisor, LLC Announce that Franklin Resources, Inc. is to Acquire Legg Mason, Inc."
2020-02-07,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of January 31, 2020"
2020-01-08,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of December 31, 2019"
2019-12-06,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of November 30, 2019"
2019-11-07,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of October 31, 2019"
2019-10-10,ClearBridge Investments Energy MLP Closed-End Funds Webcast Transcript Is Now Available
2019-10-07,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of September 30, 2019"
2019-09-09,"ClearBridge Investments to Host an Energy MLP Closed-End Funds Webcast on September 17, 2019"
2019-09-09,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of August 31, 2019"
2019-08-07,"ClearBridge MLP and Midstream Total Return Fund Inc. Announces Unaudited Balance Sheet Information as of July 31, 2019"
2019-07-23,"Legg Mason Partners Fund Advisor, LLC Announces Distributions for the Month of August 2019"
2019-07-23,"ClearBridge MLP and Midstream Total Return Fund Inc. Portfolio Composition as of June 30, 2019"
