2020-12-29,New Strong Sell Stocks for December 29th
2020-12-17,Contura Appoints Andy Eidson as President and Chief Financial Officer
2020-12-16,Is CTRA A Good Stock To Buy Now?
2020-12-16,"Here's What Contura Energy, Inc.'s (NYSE:CTRA) Shareholder Ownership Structure Looks Like"
2020-12-10,Contura Closes Transaction Divesting Cumberland Mine
2020-12-07,New Strong Sell Stocks for December 7th
2020-11-23,Quillen Joins Contura's Board of Directors
2020-11-20,"Directors Lushefski, Geiger, and Medine Resign from Contura Board"
2020-11-12,"Contura Signs Agreement to Divest Cumberland Mine, Pennsylvania Assets"
2020-11-10,Contura Confirms Receipt of Anticipated $67 Million AMT Refund
2020-11-09,"Contura Energy, Inc (CTRA) Q3 2020 Earnings Call Transcript"
2020-11-09,Is Contura Energy (CTRA) a Great Value Stock Right Now?
2020-11-09,"Contura Energy (CTRA) Reports Q3 Loss, Tops Revenue Estimates"
2020-11-09,Recap: Contura Energy Q3 Earnings
2020-11-09,"Contura Energy, Inc. to Host Earnings Call"
2020-11-09,Contura Announces Third Quarter 2020 Results
2020-11-02,Contura to Announce Third Quarter 2020 Financial Results on November 9
2020-10-22,Is Contura Energy (CTRA) Stock Undervalued Right Now?
2020-10-19,"Hedge Funds Are Coming Back To Contura Energy, Inc. (CTRA)"
2020-10-17,Reflecting on Contura Energy's (NYSE:CTRA) Share Price Returns Over The Last Three Years
2020-10-13,Contura Issues Statement on MG Capital Letter
2020-10-09,U.S. Miners Are Trying to Get Out of the Thermal Coal Business
2020-10-07,MG Capital Issues Letter to the Board of Directors of Contura Energy Inc.
2020-09-24,Contura (CTRA) Looks Good: Stock Adds 5% in Session
2020-08-18,"Should You Take Comfort From Insider Transactions At Contura Energy, Inc. (NYSE:CTRA)?"
2020-08-07,"CONTURA ENERGY (CTRA) Reports Q2 Loss, Tops Revenue Estimates"
2020-08-07,Contura Announces Second Quarter 2020 Results
2020-08-04,"CONTURA ENERGY ALERT: Bragar Eagel & Squire, P.C. is Investigating Contura Energy, Inc. on Behalf of Stockholders and Encourages Investors to Contact the Firm"
2020-08-03,"Shareholder Alert: Robbins LLP Announces It Is Investigating Contura Energy, Inc. (CTRA) for Misleading Shareholders"
2020-07-31,Contura to Announce Second Quarter 2020 Financial Results on August 7
2020-07-28,"ROSEN, HIGHLY RECOGNIZED INVESTOR COUNSEL, Continues to Investigate Securities Claims Against Contura Energy, Inc.  CTRA"
2020-07-20,"ROSEN, LEADING TRIAL ATTORNEYS, Continues to Investigate Securities Claims Against Contura Energy, Inc.  CTRA"
2020-07-02,"ROSEN, A LEADING, LONGSTANDING, AND TOP RANKED FIRM, Continues to Investigate Securities Claims Against Contura Energy, Inc.  CTRA"
2020-06-26,"Hedge Funds Never Been Less Bullish On Contura Energy, Inc. (CTRA)"
2020-06-26,"CTRA ALERT: ROSEN, A HIGHLY RECOGNIZED LAW FIRM, Continues to Investigate Securities Claims Against Contura Energy, Inc.  CTRA"
2020-06-23,"INVESTIGATION ALERT: The Schall Law Firm Announces It Is Investigating Claims Against Contura Energy, Inc. and Encourages Investors With Losses in Excess of $100,000 to Contact the Firm"
2020-06-22,"ROSEN, A LEADING NATIONAL FIRM, Announces Investigation of Securities Claims Against Contura Energy, Inc. - CTRA"
2020-06-22,Contura Announces Strategic Actions to Strengthen Financial Performance
2020-06-19,"IMPORTANT SHAREHOLDER NOTICE: The Schall Law Firm Announces it is Investigating Claims Against Contura Energy, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm"
2020-06-19,"The Law Offices of Frank R. Cruz Announces Investigation on Behalf of Contura Energy, Inc. Investors (CTRA)"
2020-06-16,"INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Contura Energy, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm"
2020-06-16,"CTRA ALERT: Rosen Law Firm Announces Investigation of Securities Claims Against Contura Energy, Inc.  CTRA"
2020-06-05,"The Law Offices of Frank R. Cruz Announces Investigation on Behalf of Contura Energy, Inc. Investors (CTRA)"
2020-05-29,Contura Completes Exit from Powder River Basin
2020-05-11,"Contura Energy, Inc (CTRA) Q1 2020 Earnings Call Transcript"
2020-05-11,"CONTURA ENERGY (CTRA) Reports Q1 Loss, Tops Revenue Estimates"
2020-05-11,Recap: Contura Energy Q1 Earnings
2020-05-11,Contura Announces First Quarter 2020 Results
2020-05-04,Contura to Announce First Quarter 2020 Financial Results on May 11
2020-04-14,Coal producer files for Chapter 11 bankruptcy
2020-04-03,Cumberland Mine to return to operations as owner Contura Energy idles other facilities
2020-04-03,Contura Announces Temporary Operational Changes
2020-03-23,Contura Announces Partial Draw Down of Revolving Credit Facility
2020-03-20,"Coal mines, closed by governor's order, may get waiver to remain open"
2020-03-19,Cumberland Mine owner limits capital spending at mine
2020-03-18,Earnings Call Rescheduled for 2:00 p.m. Today Due to Third-Party Technical Difficulties
2020-03-18,Contura Energy: Q4 Earnings Insights
2020-03-18,"Contura Energy, Inc. to Host Earnings Call"
2020-03-18,Contura Announces Fourth Quarter 2019 Results
2020-03-12,Contura to Announce Fourth Quarter 2019 Financial Results on March 18
2020-02-20,Did Changing Sentiment Drive Contura Energy's (NYSE:CTRA) Share Price Down A Painful 90%?
2020-02-19,"Some optimism, dosed with reality, for coal companies"
2020-02-12,Cumberland Mine owner: 'We're exploring all of our options'
2020-02-10,Updated Dial-In Information for Exchange Call with Contura Management
2020-02-10,"Contura Announces Updated 2020 Guidance and Certain Preliminary, Unaudited Fourth Quarter 2019 Results"
2020-01-28,New Strong Sell Stocks for January 28th
2019-12-30,"How Does Contura Energy's (NYSE:CTRA) P/E Compare To Its Industry, After Its Big Share Price Gain?"
2019-12-23,Scott Vogel Joins Contura Board
2019-12-20,"Did Hedge Funds Drop The Ball On Contura Energy, Inc. (CTRA)?"
2019-12-13,Quarterly S&P/TSX Composite Index Review - December 2019
2019-11-16,"Contura Energy, Inc. Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now"
2019-11-15,Contura Announces Partial Idling of Cumberland Mine
2019-11-15,"How Does Contura Energy's (NYSE:CTRA) P/E Compare To Its Industry, After The Share Price Drop?"
2019-11-14,"CONTURA ENERGY (CTRA) Reports Q3 Loss, Lags Revenue Estimates"
2019-11-14,Contura Announces Third Quarter 2019 Results
