2021-01-05,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2020-12-02,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2020-11-03,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2020-10-16,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Sale of $75 Million of Remarketable Variable Rate MuniFund Term Preferred Shares"
2020-10-05,"CORRECTING and REPLACING BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2020-09-02,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2020-08-04,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2020-07-02,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2020-06-02,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2020-05-04,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2020-04-28,Fund Statistics Now Available for BNY Mellon Closed-End Funds
2020-04-03,Stay Calm Amid Bond Market Chaos
2020-04-02,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2020-03-03,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2020-02-04,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2020-01-27,Fund Statistics Now Available for BNY Mellon Closed-End Funds
2020-01-03,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2019-12-03,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE:DMB) Announces Dividend"
2019-11-04,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2019-10-02,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2019-09-19,"Fund Statistics Now Available For: BNY Mellon Municipal Bond Infrastructure Fund, Inc."
2019-09-04,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2019-08-15,"Fund Statistics Now Available For: BNY Mellon Municipal Bond Infrastructure Fund, Inc."
2019-08-02,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2019-08-01,Municipals Rock On
2019-07-02,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2019-06-27,"Fund Statistics Now Available For: BNY Mellon Municipal Bond Infrastructure Fund, Inc."
2019-06-04,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2019-05-20,"Fund Statistics Now Available for: Dreyfus Municipal Bond Infrastructure Fund, Inc."
2019-05-02,"Dreyfus Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2019-04-02,"Dreyfus Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2019-03-26,"Fund Statistics Now Available for: Dreyfus Municipal Bond Infrastructure Fund, Inc."
2019-03-04,"Dreyfus Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2019-03-04,Dreyfus Closed-End Funds Announce Name Changes
2019-02-22,"Fund Statistics Now Available for: Dreyfus Municipal Bond Infrastructure Fund, Inc."
2019-02-07,"Dreyfus Municipal Bond Infrastructure Fund, Inc. -- Moody's withdraws rating of Dreyfus closed-end fund for business reasons"
2019-02-06,"Dreyfus Muni. Bond Infrastructure Fund, Inc. -- Moody's withdraws rating of Dreyfus closed-end fund for business reasons"
2019-02-04,"Dreyfus Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2019-01-23,Fund Statistics Now Available for Dreyfus Closed-End Funds
2019-01-03,"Dreyfus Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2018-12-20,"Fund Statistics Now Available for: Dreyfus Municipal Bond Infrastructure Fund, Inc."
2018-12-04,"Dreyfus Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2018-11-15,"Fund Statistics Now Available for: Dreyfus Municipal Bond Infrastructure Fund, Inc."
2018-11-02,"Dreyfus Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2018-10-15,Fund Statistics Now Available for Dreyfus Closed-End Funds
2018-10-02,"Dreyfus Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2018-09-14,"Fund Statistics Now Available for Dreyfus Municipal Bond Infrastructure Fund, Inc."
2018-09-05,"Dreyfus Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2018-08-15,"Fund Statistics Now Available for: Dreyfus Municipal Bond Infrastructure Fund, Inc."
2018-08-02,"Dreyfus Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2018-07-18,Fund Statistics Now Available for Dreyfus Closed-End Funds
2018-07-03,"Dreyfus Municipal Bond Infrastructure Fund, Inc. (NYSE:DMB) Announces Dividend"
2018-05-15,"Fund Statistics Now Available for: Dreyfus Municipal Bond Infrastructure Fund, Inc."
2018-04-20,Fund Statistics Now Available for Dreyfus Closed-End Funds
2018-04-03,"Dreyfus Municipal Bond Infrastructure Fund, Inc. (NYSE: DMB) Announces Dividend"
2018-01-26,"Dreyfus Municipal Bond Infrastructure Fund, Inc. Announces Variable Rate Muni Term Preferred Shares Actions"
2018-01-24,"Fund Statistics Now Available for: Dreyfus High Yield Strategies Fund, Dreyfus Municipal Bond Infrastructure Fund , Inc., Dreyfus Municipal Income, Inc., Dreyfus Strategic Municipal Bond Fund, Inc. and Dreyfus Strategic Municipals, Inc."
2017-10-31,"Dreyfus Municipal Bond Infrastructure Fund, Inc. Semiannual Report Now Available"
2017-10-06,"Dreyfus Municipal Bond Infrastructure Fund, Inc. Announces Changes to Portfolio Management Team"
