2021-01-11,FAT Brands Announces Participation in 2021 Annual ICR Conference
2021-01-07,"Johnny Rockets Continues Strong International Growth, Opening 12 New Locations Across Globe"
2021-01-07,"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Reminds Investors of an Investigation into the Fairness of the Merger of FAT Brands Inc. with its Controlling Stockholder"
2021-01-05,"FAT Brands Enters France with Development Deal, Bringing Fatburger to Paris"
2021-01-04,"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Reminds Investors of an Investigation into the Fairness of the Merger of FAT Brands Inc. with its Controlling Stockholder"
2020-12-30,Darden (DRI) Up 56% in 6 Months: Can the Rally Continue in 2021?
2020-12-30,Is Restaurant Brands (QSR) Poised for a Turnaround in 2021?
2020-12-30,YUM! Brands (YUM) Up 27% in 6 Months: Will the Rally Continue?
2020-12-22,"Moore Kuehn Encourages CKH, PS, FAT, and GIK Investors to Contact Law Firm"
2020-12-22,4 Restaurant Stocks to Play a Likely Turnaround in 2021
2020-12-17,"SHAREHOLDER ALERT: Rigrodsky & Long, P.A. Announces Investigation of FAT Brands Inc. Merger"
2020-12-17,Fatburger and Buffalos Express Adds New Location in Corona
2020-12-17,Fatburger and Buffalos Express Continues Singapore Expansion
2020-12-14,"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Investors of an Investigation into the Fairness of the Merger of FAT Brands Inc. with its Controlling Stockholder"
2020-12-14,Fatburger and Buffalos Express Makes Debut in Louisiana
2020-12-14,FAT Brands Announces Participation in LD Micro Main Event Conference
2020-12-11,"5 Top Stock Gainers for Friday: Disney, FAT Brands"
2020-12-11,FAT Brands (FAT) SHAREHOLDER ALERT - Andrews & Springer LLC Is Seeking More Cash for Shareholders of Fat Brands Inc.
2020-12-11,FAT Brands Merger: 9 Things for FAT Stock Investors to Know
2020-12-11,FAT Brands Up on Plan to Merge Into Parent Fog Cutter
2020-12-11,FAT Brands Agrees to Combine with Fog Cutter Capital Group
2020-12-10,FAT Brands Announces Participation in Noble Capital Markets Virtual Road Show Series
2020-12-02,"FAT Brands Breaks Ground in Kansas with Latest Development Deal, Bringing Co-Branded Fatburger and Buffalos Express to Market"
2020-11-30,Fatburger and Buffalos Express Continues Expansion Plans in Los Angeles with Latest Opening
2020-11-29,How Should Investors Feel About FAT Brands' (NASDAQ:FAT) CEO Remuneration?
2020-11-10,FAT Brands Inc. Reports Third Quarter 2020 Financial Results
2020-11-10,"FAT Brands, Inc. to Host Earnings Call"
2020-11-10,FAT BRANDS MAKES GHOST KITCHEN DEBUT IN SAN FRANCISCO
2020-11-04,"FAT Brands to Announce Third Quarter 2020 Financial Results on November 10, 2020"
2020-11-03,Fatburger and Buffalos Express Debuts Another New Location in Singapore
2020-11-02,FAT BRANDS OPENS FIRST PENNSYLVANIA GHOST KITCHEN
2020-10-28,Fatburger and Buffalos Express Adds New Location in Camarillo
2020-10-26,FAT BRANDS OPENS LATEST GHOST KITCHEN IN DALLAS
