2020-12-17,First United Corporation Announces First Quarter 2021 Dividend
2020-11-29,Do Hedge Funds Love First United Corp (FUNC)?
2020-11-10,First United Corporation Announces Third Quarter 2020 Earnings
2020-10-10,"First United Corporation (NASDAQ:FUNC) Passed Our Checks, And It's About To Pay A US$0.13 Dividend"
2020-09-24,First United Corporation Announces Fourth Quarter 2020 Dividend
2020-09-09,Read This Before Selling First United Corporation (NASDAQ:FUNC) Shares
2020-08-10,First United Corporation Announces Second Quarter 2020 Earnings
2020-07-11,Should You Buy First United Corporation (NASDAQ:FUNC) For Its Upcoming Dividend?
2020-06-18,First United Corporation Announces Third Quarter 2020 Dividend
2020-06-11,First United Announces Preliminary Results From Its 2020 Annual Meeting
2020-06-09,"First United Urges Shareholders To Vote In Favor Of Its Highly-Qualified, Independent Directors"
2020-06-08,Driver Management Announces Egan-Jones Recommends First United Shareholders Vote on the WHITE Proxy Card to Refresh the Board of Directors
2020-06-05,"Glass Lewis, A Leading Independent Proxy Advisory Firm, Recommends Shareholders Vote For All Of First United's Nominees"
2020-06-04,Hedge Funds Are Selling First United Corp (FUNC)
2020-06-02,First United Announces Notice Of Change In Location Of The Annual Meeting To A Virtual-Only Meeting Format
2020-06-01,First United Will Count Driver's Votes At Upcoming Annual Meeting
2020-05-28,Driver Management Comments on Flawed ISS Report Essentially Endorsing First Uniteds Assault on Corporate Democracy and Shareholders Rights
2020-05-28,"Leading Proxy Advisory Firm, Institutional Shareholder Services, Recommends Shareholders Vote On First United's Blue Proxy Card"
2020-05-27,One Thing To Remember About The First United Corporation (NASDAQ:FUNC) Share Price
2020-05-27,First United Clarifies Driver's Misleading Statements Regarding Regulatory Actions
2020-05-26,Driver Management Announces Maryland Commissioners Investigation Has Closed Without Any Finding of Law Being Violated
2020-05-21,Driver Management Exposes First Uniteds Refusal to Acknowledge the Truth
2020-05-20,First United Sends Letter to Shareholders Clarifying Additional Attempts by Driver to Mislead Shareholders
2020-05-18,Driver Management Discloses Irrefutable Evidence of First Uniteds Lies and Attempts to Collude With Maryland Commissioner
2020-05-18,First United Responds to Driver's False and Misleading Statements
