2021-01-06,"Hello Pal Announces New Record of $2,114,000 in Revenue for December 2020"
2021-01-04,"Helmerich & Payne, Inc. To Participate in Virtual Conferences in January 2021"
2020-12-22,4 Oil & Gas Drilling Stocks to Withstand Industry Turmoil
2020-12-21,Hello Pal Announces Key Appointment of New Board Director and SVP of Operations
2020-12-20,Is HP A Good Stock To Buy Now According To Hedge Funds?
2020-12-19,Helmerich & Payne (HP) Up 20.2% Since Last Earnings Report: Can It Continue?
2020-12-19,These 3 Dividend Stocks Are on Sale This Holiday Season
2020-12-16,Hello Pal Announces Release of 1-On-1 Video Matching Service and VIP Membership System
2020-12-10,"Hello Pal Announces New Record of $1,550,000 in Revenue for November 2020"
2020-12-07,BofA Downgrades Helmerich & Payne On Valuation
2020-11-24,Helmerich & Payne (HP) Incurs Narrower-Than-Expected Q4 Loss
2020-11-24,"Oil & Gas Stock Roundup: Helmerich & Payne's Q4, Gulfport's Bankruptcy & More"
2020-11-22,"Helmerich & Payne, Inc. (NYSE:HP) Yearly Results Just Came Out: Here's What Analysts Are Forecasting For This Year"
2020-11-20,Helmerich & Payne Inc (HP) Q4 2020 Earnings Call Transcript
2020-11-20,"Helmerich & Payne, Inc. to Host Earnings Call"
2020-11-19,"Helmerich & Payne (HP) Reports Q4 Loss, Misses Revenue Estimates"
2020-11-19,Helmerich & Payne: Q4 Earnings Insights
2020-11-19,"Helmerich & Payne, Inc. Announces Fiscal Fourth Quarter & Fiscal Year Results"
2020-11-18,Will Cost Control Aid Helmerich & Payne's (HP) Q4 Earnings?
2020-11-18,Earnings Preview for Helmerich & Payne
2020-11-18,"Hello Pal Announces $1,500,000 in Revenue for October 2020"
2020-11-12,Analysts Estimate Helmerich & Payne (HP) to Report a Decline in Earnings: What to Look Out for
2020-11-11,Ex-Dividend Date Insight: Helmerich & Payne
2020-11-10,Analyzing Helmerich & Payne's Ex-Dividend Date
2020-11-09,"Were These Hedge Funds Wrong About Helmerich & Payne, Inc. (HP)?"
2020-11-07,"Do These 3 Checks Before Buying Helmerich & Payne, Inc. (NYSE:HP) For Its Upcoming Dividend"
2020-10-29,"Should You Take Comfort From Insider Transactions At Helmerich & Payne, Inc. (NYSE:HP)?"
2020-10-27,"Helmerich & Payne, Inc. Announces Fiscal Fourth Quarter 2020 Conference Call and Webcast"
2020-10-22,J.P. Morgan: 2 High-Yield Dividend Stocks to Buy Now
2020-09-23,How Much Did Helmerich & Payne's(NYSE:HP) Shareholders Earn From Share Price Movements Over The Last Three Years?
2020-09-17,Is This the Best Turnaround Play in the Energy Patch?
2020-09-16,"Analyst Report: Helmerich & Payne, Inc."
2020-09-14,"Helmerich & Payne, Inc. (HP): Hedge Funds Are Going Back and Forth"
2020-09-13,"Analyst Report: Helmerich & Payne, Inc."
2020-09-10,"Analyst Report: Helmerich & Payne, Inc."
2020-08-31,"Helmerich & Payne, Inc. To Participate in Virtual Conferences in September 2020"
2020-08-27,Why Is Helmerich & Payne (HP) Down 10.2% Since Last Earnings Report?
2020-08-17,Carl Icahn Discards HP Stake in the 2nd Quarter
2020-08-09,"Don't Buy Helmerich & Payne, Inc. (NYSE:HP) For Its Next Dividend Without Doing These Checks"
2020-08-09,"We Wouldn't Be Too Quick To Buy Helmerich & Payne, Inc. (NYSE:HP) Before It Goes Ex-Dividend"
2020-07-31,RBC Taps 3 Stocks to Gain Should Trump Win Re-Election
2020-07-30,"Helmerich & Payne, Inc. (NYSE:HP) Just Released Its Third-Quarter Results And Analysts Are Updating Their Estimates"
2020-07-29,Helmerich & Payne Inc (HP) Q3 2020 Earnings Call Transcript
2020-07-29,Helmerich & Payne (HP) Incurs Narrower-Than-Expected Q3 Loss
2020-07-28,"Helmerich & Payne (HP) Reports Q3 Loss, Tops Revenue Estimates"
2020-07-28,"Helmerich & Payne, Inc. Announces Third Quarter Results"
2020-07-24,Cost Reduction to Aid Helmerich & Payne's (HP) Q3 Earnings
2020-07-23,What These Trends Mean At Helmerich & Payne (NYSE:HP)
2020-07-21,Helmerich & Payne (HP) Expected to Beat Earnings Estimates: Should You Buy?
2020-07-12,"Did Hedge Funds Make The Right Call On Helmerich & Payne, Inc. (HP) ?"
2020-07-12,Who Are Dell's Main Competitors?
2020-07-07,"Helmerich & Payne, Inc. Announces Fiscal Third Quarter 2020 Conference Call and Webcast"
2020-06-22,Technical Support Could Keep HP Afloat
2020-06-11,"Here is What Hedge Funds Think About Helmerich & Payne, Inc. (HP)"
2020-06-01,"Helmerich & Payne, Inc. To Participate in Virtual Conferences in June 2020"
2020-06-01,6 Energy Stocks Boosting Earnings
2020-05-30,Helmerich & Payne (HP) Up 1.8% Since Last Earnings Report: Can It Continue?
2020-05-28,2 Stocks to Watch Thursday
2020-05-28,Carl Icahn Takes Over $1.6 Billion Loss on Embattled Hertz
2020-05-27,"HP sales dive more than 11% despite work-from-home demand, stock falls in late trading"
2020-05-19,The COVID-19 Crisis Cant Sink Helmerich & Payne (HP) Stock
2020-05-18,West Pharmaceutical Services Set to Join S&P 500; Physicians Realty Trust to Join S&P MidCap 400; Helmerich & Payne to Join S&P SmallCap 600
2020-05-18,Edited Transcript of HP earnings conference call or presentation 1-May-20 3:00pm GMT
2020-05-11,S&P 500 and Nasdaq Gain on Monday
2020-05-11,Why Is Anyone Drilling Shale at All These Days?
2020-05-08,Why These 3 Oil Industry Stocks Popped More Than 20% in April
2020-05-08,Stocks jump despite a record 20.5M jobs lost in April
2020-05-08,World Markets Green on Friday
