2020-12-29,Shareholders Of Independent Bank (NASDAQ:IBCP) Must Be Happy With Their 50% Return
2020-12-28,Top Ranked Income Stocks to Buy for December 28th
2020-12-23,Independent Bank (IBCP) to Buy Back Shares: Is it Worth a Look?
2020-12-22,Independent Bank Corporation Announces the Adoption of its 2021 Share Repurchase Plan
2020-12-14,Is IBCP A Good Stock To Buy Now?
2020-12-01,Independent Bank Corporation Announces Date For Its Fourth Quarter 2020 Earnings Release
2020-11-26,Can Independent Bank (IBCP) Run Higher on Rising Earnings Estimates?
2020-11-26,Moving Average Crossover Alert: Independent Bank Corp (IBCP)
2020-11-12,Is Independent Bank (IBCP) a Great Value Stock Right Now?
2020-11-06,Top Ranked Value Stocks to Buy for November 6th
2020-11-04,"The Zacks Analyst Blog Highlights: HomeStreet, Haverty Furniture Companies, Independent Bank Corp, Ethan Allen Interiors and South Plains Financial"
2020-11-03,Analyzing Independent Bank's Ex-Dividend Date
2020-10-30,Should You Buy Independent Bank Corporation (NASDAQ:IBCP) For Its Upcoming Dividend?
2020-10-27,Independent Bank (IBCP) Q3 Earnings and Revenues Beat Estimates
2020-10-27,Independent Bank Corporation Reports 2020 Third Quarter Results
2020-10-23,Is Independent Bank (IBCP) a Great Value Stock Right Now?
2020-10-23,Independent Bank Corporation Appoints Dennis W. Archer Jr. To Its Board of Directors
2020-10-22,"Golden View Classical Academy, CO -- Moody's assigns a Baa3 issuer rating to Golden View Classical Academy, CO; outlook is stable"
2020-10-20,Independent Bank Corporation Announces Quarterly Cash Dividend on Common Stock
2020-10-20,Independent Bank (IBCP) Expected to Beat Earnings Estimates: What to Know Ahead of Q3 Release
2020-10-07,Is Independent Bank (IBCP) Stock Undervalued Right Now?
2020-10-05,How Much Does Independent Bank's (NASDAQ:IBCP) CEO Make?
2020-09-21,Is Independent Bank (IBCP) Stock Undervalued Right Now?
2020-09-10,Here's Why Independent Bank (IBCP) Stock is a Solid Pick Now
2020-08-28,Independent Bank Corporation Announces Date for Its Third Quarter 2020 Earnings Release
2020-08-21,Earnings Estimates Moving Higher for Independent Bank (IBCP): Time to Buy?
2020-08-21,Independent Bank Corporation Announces Hiring of New Chief Financial Officer
2020-08-18,Are Investors Undervaluing Independent Bank (IBCP) Right Now?
2020-07-30,There's A Lot To Like About Independent Bank's (NASDAQ:IBCP) Upcoming US$0.20 Dividend
2020-07-28,Recap: Independent Bank Q2 Earnings
2020-07-28,Independent Bank Corporation Reports 2020 Second Quarter Results
2020-07-27,How Many Independent Bank Corporation (NASDAQ:IBCP) Shares Do Institutions Own?
2020-07-21,Independent Bank Corporation Announces Quarterly Cash Dividend on Common Stock
2020-07-06,Independent Bank Corporation Announces Date for Its Second Quarter 2020 Earnings Release
2020-07-06,Do Hedge Funds Love Independent Bank Corporation (IBCP)?
2020-06-23,Edited Transcript of IBCP.OQ earnings conference call or presentation 30-Apr-20 3:00pm GMT
2020-06-10,Should Value Investors Pick Independent Bank (IBCP) Stock?
2020-06-03,Edited Transcript of IBCP earnings conference call or presentation 23-Jan-20 4:00pm GMT
2020-05-27,Independent Bank Corporation Completes Private Placement of $40 Million in Subordinated Notes
2020-05-27,Volatility 101: Should Independent Bank (NASDAQ:IBCP) Shares Have Dropped 34%?
2020-05-26,Texas Capital CEO Resigns As Independent Bank Merger Terminated; Analyst Downgrades Stock
2020-05-01,Independent Bank Corp (IBCP) Q1 2020 Earnings Call Transcript
2020-04-30,Independent Bank (IBCP) Q1 Earnings and Revenues Miss Estimates
2020-04-30,Recap: Independent Bank Q1 Earnings
2020-04-30,Independent Bank Corporation Reports 2020 First Quarter Results
2020-04-27,Our Take On Independent Bank Corporation's (NASDAQ:IBCP) CEO Salary
2020-04-23,Earnings Preview: Independent Bank (IBCP) Q1 Earnings Expected to Decline
2020-04-21,Independent Bank Corporation Announces Quarterly Cash Dividend on Common Stock
2020-04-02,INDEPENDENT BANK CORPORATION ANNOUNCES IT HAS ADDED TELECONFERENCE CAPABILITIES FOR ITS 2020 ANNUAL MEETING OF SHAREHOLDERS
2020-04-02,INDEPENDENT BANK CORPORATION ANNOUNCES DATE FOR ITS FIRST QUARTER 2020 EARNINGS RELEASE
2020-03-27,A Sliding Share Price Has Us Looking At Independent Bank Corporation's (NASDAQ:IBCP) P/E Ratio
2020-03-13,A Sliding Share Price Has Us Looking At Independent Bank Corporation's (NASDAQ:IBCP) P/E Ratio
2020-03-09,Why Independent Bank (IBCP) is a Top Dividend Stock for Your Portfolio
2020-02-06,6 Cheap Stocks With High Dividend Yields
2020-02-05,Are You Looking for a High-Growth Dividend Stock? Independent Bank (IBCP) Could Be a Great Choice
2020-02-04,"Improve Your Retirement Income with These 3 Top-Ranked Dividend Stocks - February 04, 2020"
2020-01-31,Be Sure To Check Out Independent Bank Corporation (NASDAQ:IBCP) Before It Goes Ex-Dividend
2020-01-30,"Zacks.com featured highlights include: Independent Bank, HarborOne, Horizon Technology Finance and Cue Biopharma"
2020-01-29,"How to Maximize Your Retirement Portfolio with These Top-Ranked Dividend Stocks - January 29, 2020"
2020-01-29,4 Stocks in Focus as New Analysts Show Interest
2020-01-28,Boost Your Portfolio with this New Analyst Coverage Stock Screener
2020-01-23,"How to Maximize Your Retirement Portfolio with These Top-Ranked Dividend Stocks - January 23, 2020"
2020-01-23,Independent Bank (IBCP) Surpasses Q4 Earnings and Revenue Estimates
2020-01-23,Independent Bank Corporation Reports 2019 Fourth Quarter and Full Year Results
2020-01-20,Independent Bank Corporation Announces an 11% Increase in Its Quarterly Cash Dividend on Common Stock
2020-01-16,Independent Bank (IBCP) Earnings Expected to Grow: What to Know Ahead of Next Week's Release
2020-01-10,"How to Maximize Your Retirement Portfolio with These Top-Ranked Dividend Stocks - January 10, 2020"
2020-01-09,Does Independent Bank Corporation's (NASDAQ:IBCP) P/E Ratio Signal A Buying Opportunity?
2019-12-23,"Signs That Your Trading Will Ruin Your Retirement - December 23, 2019"
2019-12-19,"Powerful Proof Anyone Can Invest for an Early Retirement - December 19, 2019"
2019-12-17,Independent Bank Corporation Announces the Adoption of Its 2020 Share Repurchase Plan
2019-12-13,Hedge Funds Have Never Been This Bullish On Independent Bank Corporation(MI) (IBCP)
2019-12-13,"How Trading Your Own Retirement Can Fleece Your Financial Future - December 13, 2019"
2019-12-11,"Powerful Proof Anyone Can Invest for an Early Retirement - December 11, 2019"
2019-12-04,Independent Bank (NASDAQ:IBCP) Shareholders Have Enjoyed A 75% Share Price Gain
2019-12-04,"Signs That Your Trading Will Ruin Your Retirement - December 04, 2019"
2019-12-03,"Simple Secrets Anyone Can Use to Reach Early Retirement - December 03, 2019"
2019-11-26,"How Trading Your Own Retirement Can Fleece Your Financial Future - November 26, 2019"
2019-11-22,"Powerful Proof Anyone Can Invest for an Early Retirement - November 22, 2019"
2019-11-19,Independent Bank Corporation Announces Date for Its Fourth Quarter 2019 Earnings Release
2019-11-18,"How Trading Your Own Retirement Can Fleece Your Financial Future - November 18, 2019"
2019-11-14,"Powerful Proof Anyone Can Invest for an Early Retirement - November 14, 2019"
2019-11-08,"How Trading Your Own Retirement Can Fleece Your Financial Future - November 08, 2019"
2019-11-06,"Want To Retire Early? Learn the Intelligent Investing Secret - November 06, 2019"
2019-11-02,Edited Transcript of IBCP earnings conference call or presentation 24-Oct-19 3:00pm GMT
2019-10-31,Should You Buy Independent Bank Corporation (IBCP)?
