2021-01-11,InflaRx Provides Update on Vilobelimab (IFX-1) Development
2021-01-07,InflaRx to Present at Upcoming Annual J.P. Morgan Healthcare Conference
2021-01-05,InflaRx Completes Enrollment in Vilobelimab (IFX-1) European Phase II Study in ANCA-associated Vasculitis
2020-12-08,"These 2 Penny Stocks Could Surge Over 200%, Says Raymond James"
2020-12-02,Hedge Funds Are Dumping InflaRx N.V. (IFRX)
2020-11-12,Will InflaRx (NASDAQ:IFRX) Spend Its Cash Wisely?
2020-10-29,InflaRx Reports Q3 2020 Financial & Operating Results
2020-09-30,InflaRx Pops 6% On Promising Data From Covid-19 Therapeutic Trial
2020-09-17,InflaRx Announces Leadership Team Additions with New CFO and Newly Created Position of Chief Strategy Officer
2020-09-14,InflaRx Announces Initiation of Phase III Part of Phase II/III Clinical Trial with IFX-1 in Severe COVID-19 Induced Pneumonia
2020-08-06,InflaRx to Present at Upcoming Virtual Investor Events
2020-07-30,InflaRx Reports Q2 2020 Financial & Operating Results
2020-07-24,Are Options Traders Betting on a Big Move in InflaRx (IFRX) Stock?
2020-07-21,InflaRx Announces Decision to Enter Phase III Development of IFX-1 in Severe COVID-19 Induced Pneumonia
2020-07-16,What Kind Of Shareholders Hold The Majority In InflaRx N.V.'s (NASDAQ:IFRX) Shares?
2020-07-09,InflaRx Sees Hammer Chart Pattern: Time to Buy?
2020-06-25,Hedge Funds Are Buying InflaRx N.V. (IFRX)
2020-06-17,InflaRx Reports Encouraging Topline Results from the Exploratory Phase II Part of the Adaptive Randomized Phase II/III Trial of IFX-1 in COVID-19
2020-06-11,"InflaRx (IFRX): Strong Industry, Solid Earnings Estimate Revisions"
2020-05-29,"The Zacks Analyst Blog Highlights: Bayer Aktiengesellschaft, InflaRx, Legrand, Innate Pharma and DiaSorin"
2020-05-28,Europe Equities Are Hot on Stimulus Optimism: 5 Picks
2020-05-21,InflaRx Reports Q1 2020 Financial & Operating Results
2020-04-29,InflaRx Reports Full Year 2019 Financial & Operating Results
2020-04-14,We're Hopeful That InflaRx (NASDAQ:IFRX) Will Use Its Cash Wisely
2020-04-01,Covid Report: Testing News Sends One Biotech Flying As Another Dives
2020-04-01,"The Daily Biotech Pulse: InflaRx Begins Human Testing For COVID-induced Pneumonia, Chembio, Becton Dickinson Launch Coronavirus Tests"
2020-03-31,InflaRx Doses First Patient in Multicenter Randomized Clinical Trial in Severe Progressed COVID-19 Pneumonia in Europe upon Receipt of Initial Positive Human Data with InflaRxs anti-C5a Technology
2020-03-06,"4 Smaller, Cash-Rich Biotech Stocks That Could Be Havens"
2020-02-26,InflaRx Announces Positive Initial Data from Ongoing Phase IIa Open Label Study with IFX-1 in Patients Suffering from Pyoderma Gangraenosum
2020-02-19,InflaRx to Present at Upcoming SVB Leerink Global Healthcare Conference
2020-01-09,InflaRx to Present at Upcoming J.P. Morgan Annual Healthcare Conference
2019-12-20,Did Hedge Funds Drop The Ball On InflaRx N.V. (IFRX) ?
2019-11-07,InflaRx Reports Third Quarter 2019 Financial & Operating Results
2019-11-07,"The Daily Biotech Pulse: Obseva Sinks On Adverse Clinical Readout, BioNano Surges On Saphyr Adoption, 2 IPOs"
2019-11-07,InflaRx Reports Positive Results from the Open Label Extension Part of the SHINE Study for IFX-1 in Hidradenitis Suppurativa
2019-10-17,Here's Why We're Watching InflaRx's (NASDAQ:IFRX) Cash Burn Situation
2019-08-14,InflaRx Reports Second Quarter 2019 Financial & Operating Results
2019-07-19,Do Insiders Own Shares In InflaRx N.V. (NASDAQ:IFRX)?
2019-07-18,InflaRx Reports Additional Analysis of the SHINE Phase IIb Results for IFX-1 in Hidradenitis Suppurativa
2019-07-18,InflaRx Enters Oversold Territory
2019-06-29,Hedge Funds Have Never Been This Bullish On InflaRx N.V. (IFRX)
2019-06-13,InflaRx Enters Oversold Territory
2019-06-13,InflaRx Treats First Patient in Phase IIa Clinical Trial with Lead Candidate IFX-1 in Pyoderma Gangraenosum
2019-06-05,InflaRx shares plummet over 90% after drug test failure
2019-06-05,InflaRx Announces Top-Line SHINE Phase IIb Results for IFX-1 in Hidradenitis Suppurativa
2019-05-23,"InflaRx N.V. (IFRX) Reports Q1 Loss, Lags Revenue Estimates"
2019-05-23,InflaRx Reports First Quarter 2019 Financial & Operating Results
2019-05-14,InflaRx Commences Second Phase II Clinical Trial of IFX-1 in ANCA-Associated Vasculitis with First Patient Treated in Europe
2019-05-03,Did Hedge Funds Drop The Ball On InflaRx N.V. (IFRX)?
2019-04-10,InflaRx (IFRX) Catches Eye: Stock Jumps 7.5%
2019-03-28,InflaRx Full Year 2018 Financial & Operating Results
2019-03-12,InflaRx (NASDAQ:IFRX) Shareholders Booked A 63% Gain In The Last Year
