2021-01-10,"Lifshitz Law Firm, P.C. Announces Investigation of BPFH, SIVB, CATM, CHNG, MGLN, PS, PRVL, RP, and WDR"
2021-01-09,"Halper Sadeh LLP Investigates the Following Mergers; Shareholders are Encouraged to Contact the Firm  MGLN, FLIR, BPFH, WTRE"
2021-01-08,"SHAREHOLDER ALERT: Monteverde & Associates PC Announces an Investigation of Magellan Health, Inc. - MGLN"
2021-01-07,"SHAREHOLDER INVESTIGATION: Halper Sadeh LLP Investigates ALXN, MGLN, FLIR, BEAT; Shareholders Are Encouraged to Contact the Firm"
2021-01-06,"MAGELLAN HEALTH INVESTOR ALERT by the Former Attorney General of Louisiana: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of Magellan Health, Inc. - MGLN"
2021-01-06,"NOTICE - IMPORTANT SHAREHOLDER INVESTIGATION UPDATE: Brodsky & Smith, LLC Reminds Investors of Investigations Related to the Following Companies: Alaska Communications Systems Group, Inc. (Nasdaq - ALSK), Magellan Health, Inc. (Nasdaq - MGLN), RLH Corporation (NYSE - RLH)"
2021-01-05,Molina Healthcare (MOH) Acquires Magellan Health's Unit
2021-01-05,Centene (CNC) to Buy Magellan Health for Better Medical Care
2021-01-05,Centene CEO on $2.2 billion Magellan acquisition
2021-01-05,"ALERT: Halper Sadeh LLP Investigates MGLN, FLIR, SMTX, PRGX; Shareholders Are Encouraged to Contact the Firm"
2021-01-05,"Moore Kuehn Encourages BEAT, MGLN, RLH, and ELY Investors to Contact Law Firm"
2021-01-05,"Company News for Jan 5, 2021"
2021-01-04,"Magellan Health, Inc. -- Moody's continues rating review of Magellan Health"
2021-01-04,"SHAREHOLDER NOTICE: Brodsky & Smith, LLC Announces an Investigation of Magellan Health, Inc. (Nasdaq - MGLN)"
2021-01-04,"Magellan Health, FLIR Systems: 5 Top Stock Gainers for Monday"
2021-01-04,Mondays Top 10 Gainers in Focus
2021-01-04,"SHAREHOLDER ALERT: WeissLaw LLP Investigates Magellan Health, Inc."
2021-01-04,"SHAREHOLDER ALERT: Rigrodsky & Long, P.A. Announces Investigation of Magellan Health, Inc. Buyout"
2021-01-04,"MAGELLAN HEALTH ALERT: Bragar Eagel & Squire, P.C. Investigates Sale of MGLN and Encourages Investors to Contact the Firm"
2021-01-04,"ALERT: Rowley Law PLLC is Investigating Proposed Acquisition of Magellan Health, Inc."
2021-01-04,Centene Is Climbing on Its Plans to Buy Magellan Health For $2.2 Billion
2021-01-04,Centene to Acquire Magellan Health in $2.2 Billion Deal
2021-01-04,Why 2021 could be a record year for M&A
2021-01-04,Centene to Buy Magellan Health in $2.2 Billion Tie-Up
2021-01-04,"Magellan Merger Investigation: Halper Sadeh LLP Announces Investigation Into Whether the Sale of Magellan Health, Inc. is Fair to Shareholders; Investors Are Encouraged to Contact the Firm  MGLN"
2021-01-04,(MGLN) Alert: Johnson Fistel Investigates Proposed Sale of Magellan Health; Is $95 a Fair Price?
2021-01-04,"Tesla, FLIR Systems, Roku, Magellan Health - Monday's Premarket Movers"
2021-01-04,Centene to acquire Magellan Health in deal with enterprise value of $2.2 billion
2021-01-04,Centene Signs Definitive Agreement to Acquire Magellan Health
2021-01-01,Can You Imagine How Magellan Health's (NASDAQ:MGLN) Shareholders Feel About The 40% Share Price Increase?
2020-12-24,Here's Why Hold Strategy is Apt for Magellan (MGLN) Stock
2020-12-23,Magellan Health (MGLN) Buys Bayless to Aid Behavioral Health
2020-12-22,A Look Into Magellan Health's Debt
2020-12-22,Magellan Health Announces Acquisition of Majority Interest in Bayless Integrated Healthcare
2020-12-19,Is MGLN A Good Stock To Buy Now According To Hedge Funds?
2020-12-07,Morgan Stanley Bank of America Merrill Lynch Trust 2013-C12 -- Moody's affirms seven and downgrades four classes of MSBAM 2013-C12
2020-11-30,Can Value Investors Pick Magellan Health (MGLN) Stock Now?
2020-11-19,3 Healthcare Stocks to Keep Gaining From Telehealth Services
2020-11-18,Magellan Health's (MGLN) Arm Enhances Mental Health Solutions
2020-11-17,Magellan Healthcare Offers Mental Health Resources to Provide Support During the Holiday Season
2020-11-13,Magellan Rx Management Releases Fifth Annual Medicaid Pharmacy Trend Report
2020-11-12,Armed Forces Services Corporation (AFSC) Rebrands as Magellan Federal
2020-11-05,Magellan Health to Participate in November Investor Conferences
2020-11-03,"Magellan's (MGLN) Q3 Earnings Top Estimates, Decline Y/Y"
2020-11-02,Senior Whole Health Massachusetts Achieves 4-Star-Rating from Centers for Medicare & Medicaid Services
2020-11-02,"Magellan Health, Inc. Just Reported A Surprise Profit And Analysts Updated Their Estimates"
2020-10-30,Magellan Health Inc (MGLN) Q3 2020 Earnings Call Transcript
2020-10-30,Magellan Rx Achieves URAC Reaccreditation
2020-10-29,Magellan Health Reschedules Third Quarter 2020 Earnings Conference Call
2020-10-29,Recap: Magellan Health Q3 Earnings
2020-10-29,"Magellan Health, Inc. to Host Earnings Call"
2020-10-29,Magellan Health Reports Third Quarter 2020 Financial Results
2020-10-22,Magellan Health Announces Third Quarter 2020 Earnings Conference Call
2020-10-07,Hedge Funds Have Never Been This Bullish On Magellan Health Inc (MGLN)
2020-10-06,"HCA Healthcare, EVERFI's Course to Enhance Behavioral Health"
2020-10-02,"Why Magellan Health, Inc. (NASDAQ:MGLN) Could Be Worth Watching"
2020-10-01,Magellan Healthcare Provides Resources During National Depression and Mental Health Awareness and Screening Month
2020-09-22,Magellan Rx Management Earns NCQA Case Management Accreditation
2020-09-10,"Magellan, Livongo's Solution to Enhance Behavioral Health"
2020-09-09,Magellan Health and Livongo to Co-create a New Digital and Clinical Care Experience across the Behavioral Health Continuum
2020-09-08,Here's Why You Should Hold Magellan Stock in Your Portfolio
2020-09-03,Magellan Health Appoints David Bourdon as Chief Financial Officer of Magellan Health
2020-09-01,Magellan Health Provides Free Consultation Services and Referrals to Local Community Resources to Individuals Impacted by Hurricane Laura
2020-08-28,Why Is Magellan Health (MGLN) Up 0.7% Since Last Earnings Report?
2020-08-26,Magellan Health Provides Free Consultation Services and Referrals to Local Community Resources to Individuals Impacted by California Wildfires
2020-08-06,Magellan Complete Care of Virginia Earns Full Accreditation from the National Committee for Quality Assurance
2020-08-03,"Magellan Health, Inc. (NASDAQ:MGLN) Is Going Strong But Fundamentals Appear To Be Mixed : Is There A Clear Direction For The Stock?"
2020-07-30,"Magellan Complete Care of Louisiana, Inc. Earns Full Accreditation from the National Committee for Quality Assurance"
2020-07-29,Magellan Health Inc (MGLN) Q2 2020 Earnings Call Transcript
2020-07-29,Top Small Cap Stocks for August 2020
2020-07-29,Magellan Health (MGLN) Tops Q2 Earnings and Revenue Estimates
2020-07-29,Magellan Health: Q2 Earnings Insights
2020-07-29,Magellan Health Reports Second Quarter 2020 Financial Results
2020-07-28,Magellan Health Launches New Approach to Deliver Innovative Healthcare Solutions through Magellan Health Studio
2020-07-27,6 Health Care Stocks Trading With Low Price-Sales Ratios
2020-07-23,Magellan's Unit to Improve Behavioral Health of Children
2020-07-22,Earnings Preview: Magellan Health (MGLN) Q2 Earnings Expected to Decline
2020-07-22,Magellan Health Announces Pilot with Mightier
2020-07-21,Magellan Health Announces Second Quarter 2020 Earnings Conference Call
2020-07-15,Magellan Complete Care of Arizona Supports Home Matters to Arizona
2020-07-06,Magellan Health Appoints Darren Lehrich as Chief Investor Relations Officer
