2021-01-11,Oak Valley Community Bank  Commercial Banking Group Announces Senior Vice President Promotions
2021-01-04,Oak Valley Community Bank Announces Executive Vice President Promotions
2020-12-16,Oak Valley Bancorp and Oak Valley Community Bank Appoint New Director
2020-12-04,A Look At Oak Valley Bancorp's (NASDAQ:OVLY) CEO Remuneration
2020-12-01,Oak Valley Community Bank Announces Commercial Loan Officer Hiring
2020-11-02,Oak Valley Community Bank Receives Most Active 504 Lender Accolades
2020-10-26,Oak Valley Community Bank Announces Commercial Loan Officer Hiring
2020-10-21,Oak Valley Bancorp Reports 3rd Quarter Results
2020-10-20,Do Insiders Own Lots Of Shares In Oak Valley Bancorp (NASDAQ:OVLY)?
2020-09-04,"The Independent Director of Oak Valley Bancorp (NASDAQ:OVLY), H. Holder, Just Bought 5.1% More Shares"
2020-08-28,Oak Valley Community Bank Announces Branch Manager Hiring
2020-07-26,Here's What We Like About Oak Valley Bancorp's (NASDAQ:OVLY) Upcoming Dividend
2020-07-22,Oak Valley Bancorp Reports 2nd Quarter Results and Announces Cash Dividend
2020-05-20,Did You Manage To Avoid Oak Valley Bancorp's (NASDAQ:OVLY) 35% Share Price Drop?
2020-04-27,Oak Valley Community Bank Director Retires
2020-04-22,Oak Valley Bancorp Reports 1st Quarter Results
2020-04-10,Oak Valley Community Bank Announces Commercial Loan Officer Hiring
2020-03-26,OAK VALLEY COMMUNITY BANK ANNOUNCES COMMERCIAL LOAN OFFICER HIRING
2020-03-21,How Does Oak Valley Bancorp (NASDAQ:OVLY) Stand Up To These Simple Dividend Safety Checks?
2020-02-21,Oak Valley Community Bank Receives Outstanding Community Reinvestment (CRA) Rating
2020-02-04,Oak Valley Community Bank Announces Hiring of New Oak Valley Investments Representative
2020-01-28,Be Sure To Check Out Oak Valley Bancorp (NASDAQ:OVLY) Before It Goes Ex-Dividend
2020-01-23,Oak Valley Bancorp Reports 4th Quarter Results and Announces Cash Dividend
2020-01-15,Oak Valley Community Bank Announces Promotion and Retirement
2019-12-20,6 Guru Stocks Expanding Book Value
2019-12-19,Is Now The Time To Put Oak Valley Bancorp (NASDAQ:OVLY) On Your Watchlist?
2019-11-04,Did You Miss Oak Valley Bancorp's (NASDAQ:OVLY) 66% Share Price Gain?
2019-10-28,Oak Valley Community Bank Receives Most Active 504 Lender Accolades
2019-10-18,Oak Valley Bancorp Reports Record 3rd Quarter Results
2019-09-27,What Makes Oak Valley Bancorp (NASDAQ:OVLY) A Great Dividend Stock?
2019-08-22,Should You Take Comfort From Insider Transactions At Oak Valley Bancorp (NASDAQ:OVLY)?
2019-08-12,Oak Valley Community Bank Announces Branch Manager Hiring
2019-07-17,Oak Valley Bancorp Reports 2 Quarter Results and Announces Cash Dividend
2019-06-24,Here's Why We Think Oak Valley Bancorp (NASDAQ:OVLY) Is Well Worth Watching
2019-06-18,Is Oak Valley Bancorp (NASDAQ:OVLY) Excessively Paying Its CEO?
2019-05-17,Do Insiders Own Shares In Oak Valley Bancorp (NASDAQ:OVLY)?
2019-05-13,Oak Valley Community Bank Announces Branch Manager Hiring
2019-05-03,Oak Valley Community Bank Announces Commercial Loan Officer Hiring
2019-04-18,Oak Valley Bancorp: 1Q Earnings Snapshot
2019-04-18,Oak Valley Bancorp Reports 1st Quarter Results
2019-04-16,Did Business Growth Power Oak Valley Bancorp's (NASDAQ:OVLY) Share Price Gain of 111%?
2019-03-26,Oak Valley Community Bank Announces Commercial Real Estate Vice President Hiring
2019-03-11,"Oak Valley Bancorp (OVLY) Files 10-K for the Fiscal Year Ended on December 31, 2018"
2019-02-26,Why These Fundamentals Make Oak Valley Bancorps (NASDAQ:OVLY) More Attractive
2019-01-24,Oak Valley Community Bank Announces Branch Manager Hiring
