2020-12-15,Is QUOT A Good Stock To Buy Now?
2020-12-09,"Quotient Survey Affirms Consumer Mindset on New Years Eve Celebrations, Resolutions and Food Habits in 2021"
2020-11-30,Lookback: Miller Value Partners 2019 Quotient Technology (QUOT) Thesis
2020-11-29,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims  On Behalf of Investors of Quotient Technology Inc. - QUOT
2020-11-27,"SHAREHOLDER ACTION NOTICE: The Schall Law Firm Announces it is Investigating Claims Against Quotient Technology Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm"
2020-11-26,Have Insiders Been Buying Quotient Technology Inc. (NYSE:QUOT) Shares This Year?
2020-11-25,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Quotient Technology Inc. - QUOT
2020-11-24,"INVESTIGATION REMINDER: The Schall Law Firm Announces it is Investigating Claims Against Quotient Technology Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm"
2020-11-23,"ROSEN, A GLOBALLY RECOGNIZED LAW FIRM, Announces Investigation of Securities Claims Against Quotient Technology Inc.; Encourages Investors with Losses in Excess of $100K to Contact the Firm - QUOT"
2020-11-23,"INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Quotient Technology Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm"
2020-11-22,Rosen Law Firm Announces Investigation of Securities Claims Against Quotient Technology Inc.  QUOT
2020-11-21,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Quotient Technology Inc. - QUOT
2020-11-18,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims  On Behalf of Investors of Quotient Technology Inc. - QUOT
2020-11-16,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims on Behalf of Investors of Quotient Technology Inc.  QUOT
2020-11-14,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims  On Behalf of Investors of Quotient Technology Inc. - QUOT
2020-11-10,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Quotient Technology Inc. - QUOT
2020-11-09,"Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Quotient Technology Inc. (QUOT) Investigation"
2020-11-05,"Quotient Technology (QUOT) Reports Q3 Loss, Lags Revenue Estimates"
2020-11-05,"Quotient Technology, Inc. to Host Earnings Call"
2020-11-05,Quotient Technology Inc. Reports Third Quarter 2020 Financial Results
2020-11-04,Earnings Preview: Quotient Technology
2020-10-28,Quotient Pioneers Consumer Choice in Digital Savings through Launch of National Rebates on Coupons.com App
2020-10-15,"Quotient to Announce Third Quarter 2020 Financial Results on November 5, 2020"
2020-10-12,Quotient Technology Inc.'s (NYSE:QUOT) Intrinsic Value Is Potentially 70% Above Its Share Price
2020-09-29,FLG Partners Announces Two New Partners and Expands Footprint to Los Angeles
2020-09-23,Quotient Unveils New In-Store Digital Out-Of-Home Inventory Powered by Deterministic Shopper Purchase Data
