2020-12-11,Is RGS A Good Stock To Buy?
2020-12-02,Regis® Announces Brand-Centric Reorganization and Positions Itself for Growth Under New CEO and President
2020-12-02,Is Regis Corporation (NYSE:RGS) Trading At A 28% Discount?
2020-11-27,Supercuts Owner Regis Stock Is a Post-Covid Play With Style
2020-11-02,Regis (RGS) Q1 2021 Earnings Call Transcript
2020-11-02,Regis: Q1 Earnings Insights
2020-11-02,"Regis (RGS) Reports Q1 Loss, Misses Revenue Estimates"
2020-11-02,Regis Reports First Quarter 2021 Results With Significant Progress in Its Transition to a Fully-Franchised Asset-Light Model and Completed Salon Re-Opening
2020-10-26,"Regis to Issue First Quarter Results on November 2, 2020"
2020-10-05,Felipe Athayde Commences His New Appointment as Regis Chief Executive Officer and President
2020-09-08,Regis Corporation Announces Leadership Transition
2020-08-31,Regis (RGS) Q4 2020 Earnings Call Transcript
2020-08-31,Why Regis Stock Collapsed 20% on Aug. 31
2020-08-31,Regis Corp. to Host Earnings Call
2020-08-31,"Regis (RGS) Reports Q4 Loss, Tops Revenue Estimates"
2020-08-31,Recap: Regis Q4 Earnings
2020-08-31,"Regis® Reports Fourth Quarter and Full Year 2020 Operating Results Materially Impacted by the COVID-19 Pandemic, Successfully Amends Credit Facility and Announces Significant Progress in Its Transition to Franchise Model"
2020-08-27,"Regis to Issue Fourth Quarter Results on August 31, 2020"
2020-08-27,What Type Of Returns Would Regis'(NYSE:RGS) Shareholders Have Earned If They Purchased Their SharesYear Ago?
2020-08-18,Analysts Estimate Regis (RGS) to Report a Decline in Earnings: What to Look Out for
2020-08-10,Edited Transcript of RGS.N earnings conference call or presentation 18-Jun-20 2:00pm GMT
2020-07-06,"Regis Announces Additional G&A Reductions, Significant Progress in Salon Re-openings and Continued Progress in Its Transition to a Fully Franchised Model"
2020-06-24,Should You Avoid Regis Corporation (RGS)?
2020-06-23,XTM Signs Regis Corporation Salons
2020-06-23,XTM Signs Regis Corporation Salons
2020-06-18,Regis Corp. to Host Earnings Call
2020-06-18,"Regis (RGS) Reports Q3 Loss, Tops Revenue Estimates"
2020-06-18,Regis: Q3 Earnings Insights
2020-06-18,Regis Reports Third Quarter 2020 Results Materially Impacted by the COVID-19 Pandemic and Significant Progress in Salon Re-Openings and in Its Transition to a Franchise Model
2020-06-11,"CORRECTING and REPLACING Regis to Issue Third Quarter Results on June 18, 2020"
2020-06-03,Regis® Works with Infectious Disease Specialists at the University of Minnesota Medical School to Enhance Customer and Stylist Safety Measures for Salon Operations
2020-05-18,Regis Corporation Announces Successful Amendment to Revolving Credit Facility
2020-04-28,Analysts Estimate Regis (RGS) to Report a Decline in Earnings: What to Look Out for
2020-04-27,Supercuts parent Regis stock soars as some states allow hair salons to reopen
2020-04-27,Coronavirus update: Optimism over phased reopenings only slightly tempered by continued concerns over inadequate testing for COVID-19 virus
2020-04-27,Supercuts Owner Regis Surges as States Lift Business Restrictions
2020-04-27,Regis' stock soars after some states allow hair salons to reopen
2020-03-31,"Coronavirus update: 809,608 cases, 39,545 deaths, and White House expected to release models showing trajectory of illness"
2020-03-31,"Regis furloughs hundreds, slashes pay for executives"
2020-03-31,"Supercuts parent Regis to close all company-owned salons, furlough a 'substantial majority' of employees"
2020-03-31,Regis Takes Additional Action to Mitigate COVID-19 Impact
2020-03-19,Regis Takes Immediate Action to Mitigate COVID-19 Impact
2020-02-25,RGS vs. TSCO: Which Stock Should Value Investors Buy Now?
2020-02-21,Edited Transcript of RGS earnings conference call or presentation 4-Feb-20 3:00pm GMT
2020-02-03,Regis (RGS) Beats Q2 Earnings and Revenue Estimates
2020-02-03,Regis Reports Second Quarter 2020 Operating Results and Estimates That Its Transition to a Franchise Platform Will Be Substantially Complete by Calendar Year-end; Company Begins Meaningful G&A Reductions
2020-02-03,Regis selling stake in beauty-school business
2020-02-03,Regis Announces Transaction With Empire Education Group
2020-01-28,Earnings Preview: Regis (RGS) Q2 Earnings Expected to Decline
2020-01-21,"Regis to Issue Second Quarter Results on February 4, 2020"
2020-01-16,Does The Regis Corporation (NYSE:RGS) Share Price Fall With The Market?
2020-01-16,Regis is cutting hundreds of jobs as it unloads stores to franchisees
2020-01-16,Regis cuts 290 jobs as part of transition to franchise model
2020-01-16,Regis Announces Significant Actions To Reduce G&A Costs As The Company Continues Its Transition To A Fully Franchised Model
2020-01-03,Regis takes back hundreds of mall salons from The Beautiful Group
2020-01-02,Regis takes back hundreds of mall salons it sold in 2017; many others will close
2019-12-31,Regis Announces a Transaction Involving Certain Salons Operating Under the Regis® and Mastercuts® Brands
2019-12-17,Edited Transcript of RGS earnings conference call or presentation 29-Oct-19 2:00pm GMT
2019-12-17,Regis® Announces Agreement to Franchise the Holiday Hair Brand and Sell an Additional 133 Company-Owned Salons to the Alline Salon Group
2019-12-13,Hedge Funds Are Dumping Regis Corporation (RGS)
2019-12-13,Regis Announces the Franchise of Over 100 Salons in the United Kingdom to the Bushell Investment Group
2019-12-11,Estimating The Intrinsic Value Of Regis Corporation (NYSE:RGS)
2019-12-11,City Center Realty buys former Regis headquarters
2019-12-05,Regis Announces Sale of 121 SmartStyle Salons to Yellowhammer Salon Group
2019-11-20,HIBB vs. RGS: Which Stock Is the Better Value Option?
2019-11-11,Regis Corporation Appoints Kersten Zupfer as Executive Vice President and CFO
2019-11-05,Michaels Stock Rises 36% in 3 Months: What's Behind the Rally?
2019-11-05,"Aaron's (AAN) Misses Q3 Earnings Estimates, Revises View"
2019-11-04,KAR vs. RGS: Which Stock Should Value Investors Buy Now?
2019-10-31,Did You Miss Regis's (NYSE:RGS) 73% Share Price Gain?
2019-10-30,Is Regis Corporation (RGS) A Good Stock To Buy?
2019-10-29,Regis (RGS) Q1 Earnings and Revenues Beat Estimates
2019-10-29,"Regis Reports First Quarter 2020 Operating Results and Continues to Make Significant Progress in Its Transiton to a Capital Light, High Growth and Technology Enabled Fully Franchised Model"
2019-10-25,Beating the Street: Mr. Lynch Got a Haircut
2019-10-25,Hibbett Stock Surges 66% YTD on Sturdy Omni-Channel Efforts
