2020-12-21,"Royce Micro-Cap Trust (NYSE: RMT) as of Nov 30, 2020"
2020-12-01,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) declares Fourth Quarter Common Stock Distribution of $0.15 Per Share"
2020-11-30,"Royce Micro-Cap Trust (NYSE: RMT) as of Oct 31, 2020"
2020-10-26,"Royce Micro-Cap Trust (NYSE: RMT) as of Sep 30, 2020"
2020-09-25,"Royce Micro-Cap Trust (NYSE-RMT) as of Aug 31, 2020"
2020-09-01,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) declares Third Quarter Common Stock Distribution of $0.15 Per Share"
2020-08-25,"Royce Micro-Cap Trust (NYSE: RMT) as of Jul 31, 2020"
2020-07-24,"Royce Micro-Cap Trust (NYSE: RMT) as of Jun 30, 2020"
2020-07-14,"Royce Micro-Cap Trust, Inc. Stockholders Approve New Investment Advisory Agreement at Special Meeting"
2020-07-02,"Announcement Of Change Of Location Of Special Meeting Of Stockholders Of Royce Micro-Cap Trust, Inc. Scheduled To Be Held On July 14, 2020"
2020-06-29,"/C O R R E C T I O N -- Royce Global Value Trust, Inc./"
2020-06-26,Leading Independent Proxy Advisory Firm ISS Recommends Royce Micro-Cap Trust Stockholders Vote to Approve New Investment Advisory Agreement
2020-06-25,"Royce Micro-Cap Trust (NYSE: RMT) as of May 31, 2020"
2020-06-01,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) declares Second Quarter Common Stock Distribution of $0.15 Per Share"
2020-05-27,"Royce Micro-Cap Trust (NYSE: RMT) as of Apr 30, 2020"
2020-04-27,"Royce Micro-Cap Trust (NYSE: RMT) as of Mar 31, 2020"
2020-04-21,Royce Closed-End Funds Announce Record Date and Meeting Date for Special Meetings of Stockholders
2020-04-08,Here's One Way to Get Micro-Cap Exposure
2020-03-30,"Royce Micro-Cap Trust (NYSE: RMT) as of Feb 29, 2020"
2020-03-02,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) declares First Quarter Common Stock Distribution of $0.16 Per Share"
2020-02-26,"Royce Micro-Cap Trust (NYSE: RMT) as of Jan 31, 2020"
2020-02-19,"Royce Closed-End Funds Announce That Franklin Resources, Inc. Is To Acquire Legg Mason, Inc."
2020-01-27,"Royce Micro-Cap Trust (NYSE: RMT) as of Dec 31, 2019"
2019-12-27,"Royce Micro-Cap Trust (NYSE: RMT) as of Nov 30, 2019"
2019-12-02,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) declares Fourth Quarter Common Stock Distribution of $0.16 Per Share"
2019-11-27,"Royce Micro-Cap Trust (NYSE: RMT) as of Oct 31, 2019"
2019-10-30,"Royce Micro-Cap Trust (NYSE: RMT) as of Sep 30, 2019"
2019-09-27,"Royce Micro-Cap Trust (NYSE: RMT) as of Aug 31, 2019"
2019-09-03,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares Third Quarter Common Stock Distribution of $0.17 Per Share"
2019-08-27,"Royce Micro-Cap Trust (NYSE: RMT) as of Jul 31, 2019"
2019-07-29,"Royce Micro-Cap Trust (NYSE: RMT) as of June 30, 2019"
2019-06-28,"Royce Micro-Cap Trust (NYSE: RMT) as of May 31, 2019"
2019-06-03,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares Second Quarter Common Stock Distribution of $0.17 Per Share"
2019-05-28,"Royce Micro-Cap Trust (NYSE: RMT) as of Apr 30, 2019"
2019-04-29,"Royce Micro-Cap Trust (NYSE: RMT) as of Mar 31, 2019"
2019-04-02,U.S. expects to resolve spat with Turkey over purchase of Russian air defenses
2019-03-27,"Royce Micro-Cap Trust (NYSE: RMT) as of Feb 28, 2019"
2019-03-01,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares First Quarter Common Stock Distribution of $0.18 Per Share"
2019-02-26,"Royce Micro-Cap Trust (NYSE: RMT) as of Jan 31, 2019"
2019-01-28,"Royce Micro-Cap Trust (NYSE: RMT) as of Dec 31, 2018"
2018-12-27,"Royce Micro-Cap Trust (NYSE: RMT) as of Nov 30, 2018"
2018-12-03,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares Fourth Quarter Common Stock Distribution of $0.21 Per Share"
2018-11-29,"Royce Micro-Cap Trust (NYSE: RMT) as of Oct 31, 2018"
2018-10-29,"Royce Micro-Cap Trust (NYSE: RMT) as of Sep 30, 2018"
2018-09-28,"Royce Micro-Cap Trust (NYSE: RMT) as of Aug 31, 2018"
2018-09-04,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares Third Quarter Common Stock Distribution of $0.18 Per Share"
2018-08-29,"Royce Micro-Cap Trust (NYSE: RMT) as of Jul 31, 2018"
2018-07-27,"Royce Micro-Cap Trust (NYSE: RMT) as of Jun 30, 2018"
2018-06-28,"Royce Micro-Cap Trust (NYSE: RMT) as of May 31, 2018"
2018-06-01,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares Second Quarter Common Stock Distribution of $0.18 Per Share"
2018-05-25,"Royce Micro-Cap Trust (NYSE: RMT) as of April 30, 2018"
2018-04-30,"Royce Micro-Cap Trust (NYSE: RMT) as of March 31, 2018"
2018-03-29,"Royce Micro-Cap Trust (NYSE: RMT) as of February 28, 2018"
2018-03-02,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares First Quarter Common Stock Distribution of $0.18 Per Share"
2018-02-27,"Royce Micro-Cap Trust (NYSE: RMT) as of January 31, 2018"
2018-01-31,"Royce Micro-Cap Trust (NYSE: RMT) as of December 31, 2017"
2018-01-02,"Royce Micro-Cap Trust (NYSE: RMT) as of November 30, 2017"
2017-12-01,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares Fourth Quarter Common Stock Distribution of $0.20 Per Share"
2017-11-29,"Royce Micro-Cap Trust (NYSE: RMT) as of October 31, 2017"
2017-10-31,"Royce Micro-Cap Trust (NYSE: RMT) as of September 30, 2017"
2017-09-29,"Royce Micro-Cap Trust (NYSE: RMT) as of August 31, 2017"
2017-09-01,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares Third Quarter Common Stock Distribution of $0.17 Per Share"
2017-08-22,"Royce Micro-Cap Trust (NYSE: RMT) as of July 31, 2017"
2017-07-25,"Royce Micro-Cap Trust (NYSE: RMT) as of June 30, 2017"
2017-07-05,A Macro Look at How the Income-Minded Can Gain Exposure to Micro-Caps
2017-06-30,"Royce Micro-Cap Trust (NYSE: RMT) as of May 31, 2017"
2017-06-02,"Royce Micro-Cap Trust, Inc. (NYSE: RMT) Declares Second Quarter Common Stock Distribution of $0.16 Per Share"
2017-05-31,"Royce Micro-Cap Trust (NYSE: RMT) as of April 30, 2017"
2017-04-27,"Royce Micro-Cap Trust (NYSE: RMT) as of March 31, 2017"
2017-03-30,"Royce Micro-Cap Trust (NYSE: RMT) as of February 28, 2017"
2017-03-03,"Royce Micro-Cap Trust, Inc. (NYSE: RMT) Declares First Quarter Common Stock Distribution of $0.16 Per Share"
2017-02-28,"Royce Micro-Cap Trust (NYSE: RMT) as of January 31, 2017"
2017-01-26,"Royce Micro-Cap Trust (NYSE: RMT) as of December 31, 2016"
2016-12-29,"Royce Micro-Cap Trust (NYSE: RMT) as of November 30, 2016"
2016-12-02,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares Fourth Quarter Common Stock Distribution of $0.16 Per Share"
2016-11-28,"Royce Micro-Cap Trust (NYSE: RMT) as of October 31, 2016"
2016-10-28,"Royce Micro-Cap Trust (NYSE: RMT) as of September 30, 2016"
2016-09-28,"Royce Micro-Cap Trust (NYSE: RMT) as of August 31, 2016"
2016-09-02,"Royce Micro-Cap Trust, Inc. (NYSE: RMT) Declares Third Quarter Common Stock Distribution of $0.15 Per Share"
2016-08-25,"Royce Micro-Cap Trust (NYSE: RMT) as of July 31, 2016"
2016-07-29,"Royce Micro-Cap Trust (NYSE: RMT) as of June 30, 2016"
2016-06-29,"Royce Micro-Cap Trust (NYSE: RMT) as of May 31, 2016"
2016-06-13,"Raimount Energy, Inc. :RMT-CA: Earnings Analysis: Q1, 2016 By the Numbers : June 13, 2016"
2016-06-03,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares Second Quarter Common Stock Distribution of $0.16 Per Share"
2016-05-23,"Royce Micro-Cap Trust (NYSE: RMT) as of April 30, 2016"
2016-04-28,"Royce Micro-Cap Trust (NYSE: RMT) as of March 31, 2016"
2016-03-28,"Royce Micro-Cap Trust (NYSE: RMT) as of February 29, 2016"
2016-03-03,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares First Quarter Common Stock Distribution of $0.17 Per Share"
2016-02-22,"Royce Micro-Cap Trust (NYSE: RMT) as of January 31, 2016"
2016-01-25,"Royce Micro-Cap Trust (NYSE: RMT) as of December 31, 2015"
2015-12-28,"Royce Micro-Cap Trust (NYSE: RMT) as of November 30, 2015"
2015-12-03,"Royce Micro-Cap Trust, Inc. (NYSE: RMT) Declares Fourth Quarter Common Stock Distribution of $0.61 Per Share"
2015-11-24,"Royce Micro-Cap Trust (NYSE: RMT) as of October 31, 2015"
2015-10-22,"Royce Micro-Cap Trust (NYSE: RMT) as of September 30, 2015"
2015-09-22,"Royce Micro-Cap Trust (NYSE: RMT) as of August 31, 2015"
2015-09-04,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares Third Quarter Common Stock Distribution of $0.20 Per Share"
2015-08-25,"Royce Micro-Cap Trust (NYSE: RMT) as of July 31, 2015"
2015-07-21,"Royce Micro-Cap Trust (NYSE: RMT) as of June 30, 2015"
2015-06-23,"Royce Micro-Cap Trust (NYSE: RMT) as of May 31, 2015"
2015-06-04,"Royce Micro-Cap Trust, Inc. (NYSE-RMT) Declares Second Quarter Common Stock Distribution of $0.22 Per Share"
