2020-11-12,"Transcontinental Realty Investors, Inc. Reports Earnings for Q3 2020"
2020-09-11,Should Transcontinental Realty Investors (NYSE:TCI) Be Disappointed With Their 72% Profit?
2020-08-14,"Transcontinental Realty Investors, Inc. Reports Earnings for Q2 2020"
2020-07-27,Transcontinental Realty Investors Inc. Closes the Sale of Two Assets
2020-07-01,Southern Properties Capital and Transcontinental Realty Investors Inc. Announce Windmill Farms Expansion
2020-05-14,"Transcontinental Realty Investors, Inc. Reports Earnings for Q1 2020"
2020-04-27,"Transcontinental Realty Investors Inc. and Abode Properties Refinance Sawgrass Creek Apartments in New Port Richey, Florida"
2020-04-22,"Pillar Income Asset Management, Transcontinental Realty Investors Inc. and Abode Properties Continue Development, Land Sales, and Refinancing Projects"
2020-03-30,"Transcontinental Realty Investors, Inc. Reports 2019 Results"
2020-03-23,"Transcontinental Realty Investors Inc. and Abode Properties Refinance Terra Lago Apartments in Rowlett, Texas"
2020-02-18,"TCI Subsidiary, Southern Properties Capital Acquires Landing at Bayou Cane in Houma, Louisiana"
2020-02-05,"TCI Subsidiary, Southern Properties Capital, Receives Bond Rating Increase by Standard & Poors Global Rating"
2020-01-30,"Transcontinental Realty Investors, Inc. and Southern Properties Lease-Up Chelsea Apartments in Beaumont, Texas"
2020-01-23,Dominion at Mercer Crossing Apartments Starts Lease-Up
2020-01-15,"Transcontinental Realty Investors Inc. Secures $27.3 Million HUD Refinance of Tradewinds Apartments in Midland, Texas"
2019-12-16,Southern Properties Capital and Transcontinental Realty Investors Refinance More Than $30 Million With Fannie Mae
2019-11-14,"Transcontinental Realty Investors, Inc. Reports Third Quarter 2019 Results"
2019-10-01,Transcontinental Realty Investors Has Four Assets in Lease Up Phase
2019-08-14,"Transcontinental Realty Investors, Inc. Reports Second Quarter 2019 Results"
2019-08-05,"Transcontinental Realty Investors, Inc. Ranked as Top 150 Public Companies in DFW Metroplex"
2019-07-31,"Southern Properties Capital, Wholly Owned Subsidiary of Transcontinental Realty Investors, Achieves a Series C Issuance on the Israeli Bond Market"
2019-05-29,Southern Properties Capital Elects New Independent External Director
2019-05-22,"Transcontinental Realty Investors, Inc. and Southern Properties Capital Announce Progress on Top Master Planned Developments - Mercer Crossing and Windmill Farms"
2019-05-15,Transcontinental Realty: 1Q Earnings Snapshot
2019-05-15,"Transcontinental Realty Investors, Inc. Reports First Quarter 2019 Results"
2019-04-30,Transcontinental Realty Investors CEO Daniel Moos Recently Visited the New York Stock Exchange
2019-04-02,Transcontinental Realty: 4Q Earnings Snapshot
2019-04-01,"Transcontinental Realty Investors, Inc. Reports Full Year Results for 2018"
2019-03-27,Pillar Income Asset Management Donates New Shoes to Family Gateway
2019-03-11,"Transcontinental Realty Investors, Inc. Ranked #6 on RealPage DFW Most Active Developers List"
2019-01-14,Transcontinental Realty Investors Inc. Acquires Ground Lease for Stanford corporate Centre and Telos Fitness Center
2018-12-27,"Transcontinental Realty Investors Inc. and Marin Development Inc. Partner to Develop The Enclave at Deer Moss Creek in Niceville, Florida"
2018-12-12,"Transcontinental Realty Investors, Inc. and Southern Properties Capital Acquire the Landing Apartments on Bayou Cane in Houma, Louisiana"
2018-12-10,"Transcontinental Realty Investors, Inc. and Subsidiary Southern Properties Capital Enter Joint Venture with Macquarie"
2018-12-10,"Transcontinental Realty Investors, Inc. and Southern Properties Capital Acquire Chelsea Apartments in Beaumont, Texas"
2018-12-05,Dominion at Mercer Crossing Apartments Nearing Lease-Up
2018-11-30,"Southern Properties Capital Begins Lease Up of Spyglass of Ennis in Ennis, Texas"
2018-11-20,"Report: Developing Opportunities within Ranger Energy Services, Smartsheet, Transcontinental Realty Investors, Elevate Credit, Retail Value, and PQ Group  Future Expectations, Projections Moving into 2018"
2018-11-13,Transcontinental Realty: 3Q Earnings Snapshot
2018-11-13,"Transcontinental Realty Investors, Inc. Reports Third Quarter 2018 Results"
2018-11-12,"Transcontinental Realty Investors, Inc. Ranked as Top 150 Public Companies in DFW Metroplex"
2018-10-30,"Transcontinental Realty Investors Inc. and Abode Properties Celebrate the Grand Opening at Terra Lago Apartments in Rowlett, Texas"
2018-10-23,"Abode Properties CEO Daniel Moos Visits with Vice President Mike Pence and Majority Whip Steve Scalise at the National WWII Museum in New Orleans, Louisiana"
2018-09-11,"Transcontinental Realty Investors, Inc. and Southern Properties Capital Announce Progress on Farmers Branch Development, Mercer Crossing"
2018-08-14,Transcontinental Realty: 2Q Earnings Snapshot
2018-08-14,"Transcontinental Realty Investors, Inc. Reports Second Quarter 2018 Results"
2018-07-31,"Leasing Begins at Terra Lago Lakefront Apartments in Rowlett, Texas"
2018-07-23,"Transcontinental Realty Investors, Inc. Acquires Villas at Bon Secour in Gulf Shores, Alabama in its first Freddie Mac Transaction"
2018-07-18,"American Realty Investors, Inc. Included in Russell 2000 Index"
2018-07-16,"Transcontinental Realty Investors Inc. and Abode Properties Commences Formal Leasing Activity at Abode Red Rock Apartments in Las Vegas, Nevada"
2018-07-09,"Transcontinental Realty Investors, Inc. Included in Russell 2000 Index"
2018-06-25,Pillar Income Asset Management Expands Staff Due to Continuous Growth
2018-06-19,"Transcontinental Realty Investors, Inc. and Abode Properties Announce Advisor May Make Purchases of Stock"
2018-06-14,Transcontinental Realty Investors Inc. Announces Two Major Strategic Initiatives
2018-06-07,Should You Be Concerned About Transcontinental Realty Investors Incs (NYSE:TCI) Investors?
2018-06-05,"Transcontinental Realty Investors Inc. and Abode Properties Begins Construction on Tower Bay Lofts in Lewisville, Texas"
2018-06-04,"Transcontinental Realty Investors Inc. and Abode Properties Celebrate the Grand Opening at Parc at Wylie in Wylie, Texas"
