2020-12-14,Is TIG A Good Stock To Buy Now?
2020-11-12,Trean Insurance Group Reports Third Quarter 2020 Results
2020-11-12,Trean Insurance Group Inc to Host Earnings Call
2020-11-03,"Trean Insurance Group to Report Third Quarter 2020 Results on Thursday, November 12, 2020"
2020-10-16,"Is Trean Insurance Group, Inc.'s (NASDAQ:TIG) ROE Of 21% Impressive?"
2020-10-16,Why Trean Insurance Group (TIG) Stock is a Compelling Investment Case
2020-10-02,Trean Insurance Group Completes Acquisition of 7710 Insurance Company
2020-08-27,Trean Insurance Group Reports Second Quarter 2020 Results
2020-08-20,"Trean Insurance Group to Report Second Quarter 2020 Results on Thursday, August 27, 2020"
2020-08-18,"AM Best Assigns Issuer Credit Rating to Trean Insurance Group, Inc.; Affirms Credit Ratings of Benchmark Insurance Group Members"
2020-07-20,Trean Insurance Group Announces Closing of Initial Public Offering
2020-07-17,Benchmark Holding Company Announces Agreement to Acquire 7710 Insurance Company
2020-07-16,Word on the street: These two IPOs might be worth investing in
2020-07-15,Trean Insurance Group Prices Initial Public Offering
