2021-01-04,"Invesco Dynamic Credit Opportunities Fund, Invesco High Income Trust II and Invesco Senior Income Trust Declare Dividends"
2020-12-31,Invesco Closed-End Funds Pay Dividends
2020-12-01,"Invesco Dynamic Credit Opportunities Fund, Invesco High Income Trust II and Invesco Senior Income Trust Declare Dividends"
2020-11-30,Invesco Closed-End Funds Pay Dividends
2020-11-23,Citigroup Now Recommends High-Yield Loans Instead of Bonds. Heres Why.
2020-11-02,"Invesco Dynamic Credit Opportunities Fund, Invesco High Income Trust II and Invesco Senior Income Trust Declare Dividends"
2020-10-30,Invesco Closed-End Funds Pay Dividends
2020-10-17,Eaton Vance Floating-Rate Income Trust -- Moody's confirms the ratings of preferred shares issued by 12 senior loan closed-end funds
2020-10-01,"Invesco Dynamic Credit Opportunities Fund, Invesco High Income Trust II and Invesco Senior Income Trust Declare Dividends and Announce Adoption of Managed Distribution Plans for Invesco Dynamic Credit Opportunities Fund and Invesco Senior Income Trust"
2020-09-29,The Feds Intervention Has Created an Opportunity in an Overlooked Corner of the Credit Market: Leveraged Loans
2020-09-01,Invesco Closed-End Funds Declare Dividends
2020-08-03,Invesco Closed-End Funds Declare Dividends
2020-07-01,Invesco Closed-End Funds Declare Dividends
2020-06-01,Invesco Closed-End Funds Declare Dividends
2020-05-12,FS Global Credit Opportunities Fund -- Moody's places the ratings of preferred shares issued by 12 senior loan closed-end funds on review for downgrade
2020-01-29,Invesco Dynamic Credit Opportunities Fund -- Moody's announces completion of a periodic review of ratings of Invesco Dynamic Credit Opportunities Fund
2019-12-13,"Invesco Advisers Announces Final Results of Tender Offers for Invesco Dynamic Credit Opportunities Fund, Invesco High Income Trust II and Invesco Senior Income Trust"
2019-12-06,"Invesco Advisers Announces Expiration of Tender Offers for Invesco Dynamic Credit Opportunities Fund, Invesco High Income Trust II and Invesco Senior Income Trust"
2019-06-14,Saba Capital Reaches Agreements with Three Invesco Closed-End Funds
2019-05-01,Invesco Closed-End Funds Declare Dividends
2019-04-01,Invesco Closed-End Funds Declare Dividends
2019-03-27,China ratchets up pressure on Canada amid Huawei dispute
2019-03-27,China ratchets up pressure on Canada amid Huawei dispute
2019-03-26,China suspends license of Canadian canola company
2019-03-26,China suspends license of Canadian canola company
2019-03-01,Invesco Closed-End Funds Declare Dividends
2019-03-01,Invesco Announces Appointment of New Trustee for Closed-End Funds
2019-02-22,Invesco Dynamic Credit Opportunities Fund -- Moody's announces completion of a periodic review of ratings of Invesco Dynamic Credit Opportunities Fund
2019-02-22,Invesco Dynamic Credit Opportunities Fund -- Moody's upgrades Invesco Dynamic Credit Opportunities Fund to Aa3 from A1
2019-02-01,Invesco Closed-End Funds Declare Dividends
2019-01-02,Invesco Closed-End Funds Declare Dividends
2018-12-03,Invesco Closed-End Funds Declare Dividends
2018-11-01,Invesco Closed-End Funds Declare Dividends
2018-10-01,Invesco Closed-End Funds Declare Dividends
2018-09-04,Invesco Closed-End Funds Declare Dividends
2018-08-09,Invesco Closed-End Funds Conduct Annual Meetings of Shareholders
2018-08-01,Invesco Closed-End Funds Declare Dividends
2018-07-02,Invesco Closed-End Funds Declare Dividends
2018-06-19,Invesco Dynamic Credit Opportunities Fund -- Moody's takes rating actions on two Invesco closed-end funds following refinancing transactions
2018-06-15,Invesco Dynamic Credit Opportunities Fund -- Moody's takes rating actions on two Invesco closed-end funds
2018-06-14,Invesco Advisers Announces Private Placement of Variable Rate Demand Preferred Shares by Invesco Senior Income Trust and Invesco Dynamic Credit Opportunities Fund
2018-06-01,Invesco Closed-End Funds Declare Dividends
2018-05-01,Invesco Closed-End Funds Declare Dividends
2018-04-06,3 Big Dividends To Buy (Cheap) On This Dip
2018-04-02,Invesco Advisers Announces Officer Changes for all Invesco Closed-End Funds
2018-04-02,Invesco Closed-End Funds Declare Dividends
2018-03-01,Invesco Closed-End Funds Declare Dividends
2018-02-01,Invesco Closed-End Funds Declare Dividends
2018-01-22,Volta Finance Limited : Estimated Net Asset Value as at 31 December 2017
2018-01-02,Invesco Closed-End Funds Declare Dividends
2017-12-01,Invesco Closed-End Funds Declare Dividends
2017-11-01,Invesco Closed-End Funds Declare Dividends
2017-10-02,Invesco Closed-End Funds Declare Dividends
2017-09-01,Invesco Closed-End Funds Declare Dividends
2017-07-17,Moody's: Ratings of two Invesco closed-end funds unaffected by sale to new holders and return to original redemption process
2017-07-03,Invesco Closed-End Funds Declare Dividends
2017-06-01,Invesco Closed-End Funds Declare Dividends
2017-05-01,Invesco Closed-End Funds Declare Dividends
2017-04-04,Invesco Senior Income Trust -- Moody's: Ratings unaffected by amendments to the redemption process of two Invesco closed-end funds
2017-04-04,Invesco Senior Income Trust -- Moody's: Ratings unaffected by amendments to the redemption process of two Invesco closed-end funds
2017-04-03,Invesco Closed-End Funds Declare Dividends
2017-03-28,Invesco Announces Appointment of Four New Trustees for Closed-End Funds
2017-03-01,Invesco Closed-End Funds Declare Dividends
2017-02-01,Invesco Closed-End Funds Declare Dividends
2017-01-13,INVESCO DYNAMIC CREDIT OPPORTUNITIES FUND Financials
2017-01-03,Invesco Closed-End Funds Declare Dividends
2016-12-18,Is Pengrowth Energy Corp (USA) (PGH) A Good Stock To Buy?
2016-12-01,Invesco Closed-End Funds Declare Dividends
2016-11-01,Invesco Corrects Closed-End Funds Declaration of Dividends
2016-11-01,Invesco Closed-End Funds Declare Dividends
2016-10-03,Invesco Closed-End Funds Declare Dividends
2016-09-06,Invesco Closed-End Funds Conduct Annual Meetings of Shareholders
2016-09-01,Invesco Closed-End Funds Declare Dividends
2016-08-01,Invesco Closed-End Funds Declare Dividends
2016-06-15,Invesco Announces Additional Risk Information Related to the Invesco Closed-End Funds
2016-06-01,Invesco Closed-End Funds Declare Dividends
2016-05-02,Invesco Closed-End Funds Declare Dividends
2016-04-01,Invesco Closed-End Funds Declare Dividends
2016-04-01,Invesco Advisers Announces Portfolio Management Changes for Invesco Municipal Closed-End Funds and Officer Changes for all Invesco Closed-End Funds
2016-02-01,Invesco Closed-End Funds Declare Dividends
2016-01-29,Invesco Announces Appointment of Two New Trustees for Closed-End Funds
2016-01-04,Invesco Closed-End Funds Declare Dividends
2015-12-01,Invesco Closed-End Funds Declare Dividends
2015-11-27,"Is ARMOUR Residential REIT, Inc. (ARR) A Good Stock To Buy?"
2015-11-23,"Is Brooks Automation, Inc. (USA) (BRKS) A Good Stock To Buy?"
2015-11-02,Invesco Closed-End Funds Declare Dividends
2015-10-01,Invesco Closed-End Funds Declare Dividends
2015-09-01,Invesco Closed-End Funds Declare Dividends
2015-08-26,Invesco Closed-End Funds Conduct Annual Meetings of Shareholders
2015-08-03,Invesco Closed-End Funds Declare Dividends
2015-07-20,Invesco Advisers Announces Shelf Registration Statements for Invesco Closed-End Funds
2015-07-01,Invesco Closed-End Funds Declare Dividends
2015-06-01,Invesco Closed-End Funds Declare Dividends
2015-05-01,Invesco Closed-End Funds Declare Dividends
2015-04-01,Invesco Closed-End Funds Declare Dividends
2015-03-02,Invesco Closed-End Funds Declare Dividends
2015-02-02,Invesco Closed-End Funds Declare Dividends
2015-01-02,Invesco Closed-End Funds Declare Dividends
2014-12-01,Invesco Closed-End Funds Declare Dividends
2014-11-03,Invesco Closed-End Funds Declare Dividends
