2021-01-07,Why WEX Stock Rose 17% in December
2020-12-31,Here's Why You Should Retain WEX Stock in Your Portfolio
2020-12-21,One of WEXs Longest-Standing Clients Signs Extension
2020-12-15,WEX Inc. -- Moody's says WEX's completion of eNett and Optal acquisition is credit positive but has no immediate ratings implications
2020-12-15,Why WEX Stock Popped Today
2020-12-15,WEX Completes Acquisition of eNett and Optal
2020-11-25,WEX Inc. to Present at the Wells Fargo TMT Summit 2020
2020-11-11,WEX Inc. to Present at Citi's 2020 Financial Technology Virtual Conference
2020-11-10,"Conversion Labs Appoints WEX CFO and Former Revlon CFO, Roberto Simon, to Board of Directors"
2020-11-09,New Research from WEX and (E) BrandConnect Identifies the Pandemic as a Tipping Point for Digital Payments
2020-11-05,Equifax Names Melissa Smith to Board of Directors
2020-11-05,WEX Gains 11% Despite Missing on Q3 Earnings and Revenues
2020-11-02,WEX Inc. Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now
2020-10-29,"WEX, Inc. to Host Earnings Call"
2020-10-29,Wex (WEX) Lags Q3 Earnings and Revenue Estimates
2020-10-29,WEX: Q3 Earnings Insights
2020-10-29,WEX Inc. Reports Third Quarter 2020 Financial Results
2020-10-28,Top Tech Stocks for November 2020
2020-10-27,WEX (WEX) to Report Third-Quarter Earnings: What's in Store?
2020-10-22,Wex (WEX) Expected to Beat Earnings Estimates: Can the Stock Move Higher?
2020-10-19,"WEX Inc. to Release Third Quarter 2020 Financial Results on October 29, 2020"
2020-10-12,WEX Welcomes Decision by the High Court of Justice of England and Wales in Preliminary Issues Trial
2020-10-07,WEX Study Finds Improved Perception of Health Savings Accounts and Telemedicine Amid Pandemic
2020-09-29,Is WEX Inc (WEX) A Good Stock To Buy?
2020-09-28,Travelport Finance (Luxembourg) S.a.r.l. -- Moody's affirms Travelport's Caa2 ratings; appends limited default (LD) designation to Caa2-PD PDR; outlook remains negative
2020-09-23,WEX Announces New Virtual Event for Second Annual HSA Day
2020-09-21,4 Reasons I Just Bought WEX Stock
2020-09-03,WEX Inc. to Present at the Deutsche Bank Virtual Technology Conference
2020-08-29,Wex (WEX) Up 2.5% Since Last Earnings Report: Can It Continue?
2020-08-25,WEXs Health Division Introduces AI-Driven Chatbot
2020-08-13,WEX Announces New ClearView Snap Skill for Amazon Alexa
2020-08-11,WEX Expands Savings Network with New Merchant Offers
2020-08-06,"WEX's Q2 Earnings & Revenue Miss Estimates, Decline Y/Y"
2020-07-30,WEX Reports Sharp Drops In Revenue And Earnings During Second Quarter
2020-07-30,Wex (WEX) Q2 Earnings and Revenues Miss Estimates
2020-07-30,Recap: WEX Q2 Earnings
2020-07-30,Schneider Renews With WEX EFS to Continue Valued Relationship
2020-07-30,WEX Extends Valuable Partnership With Enterprise Fleet Management
2020-07-30,WEX Inc. Reports Second Quarter 2020 Financial Results
2020-07-28,WEX Readies to Report Q2 Earnings: What's in the Offing?
2020-07-27,Transamerica Bolsters Workplace Benefits with a Suite of Health Savings and Spending Accounts
2020-07-27,WEX Inc. Announces Time Change for its Conference Call to Discuss Second Quarter 2020 Financial Results
2020-07-23,WEX Inc. -- Moody's announces completion of a periodic review of ratings of WEX Inc.
2020-07-23,WEX Inc. -- Moody's announces completion of a periodic review of ratings of WEX Inc.
2020-07-23,Analysts Estimate Wex (WEX) to Report a Decline in Earnings: What to Look Out for
2020-07-20,Wex (WEX) Stock Sinks As Market Gains: What You Should Know
2020-07-16,"WEX Inc. to Release Second Quarter 2020 Financial Results on July 30, 2020"
2020-07-14,Onyx CenterSource Announces Global Partnership with WEX to Expand Digitized Payments Options
2020-07-13,Wex (WEX) Dips More Than Broader Markets: What You Should Know
2020-07-12,Did Hedge Funds Make The Right Call On WEX Inc (WEX) ?
2020-07-02,WEX Gives Trucking Customers Access to Its Savings Network
2020-07-01,WEX Merchant Partners Offer Fuel Discounts to Truckers
2020-06-30,WEX Inc. -- Moody's affirms WEX's ratings following private placement announcement; outlook remains negative
2020-06-29,WEX Announces a $400 Million Investment From Warburg Pincus and Amendment to the Credit Agreement
2020-06-19,WEX Looks Good: Stock Adds 6.4% in Session
