2021-01-06,"Wipro Limited to Announce Results for the Third Quarter Ended December 31, 2020 on January 13, 2021"
2020-12-12,Is WIT A Good Stock To Buy Now?
2020-12-10,Wipro and LogiNext Partner to Launch Integrated Logistics Platform
2020-12-07,New CEO Drives Wipro Up 70% Without Stepping Into Office
2020-12-02,Wipro to Deliver Agile Customer Engineering Services to Verifone Inc
2020-11-19,Wipro Selected as Dow Jones Sustainability World Index (DJSI) Member for the 11th Consecutive Year
2020-11-17,Wipros Annual State of Cybersecurity Report Finds Increasing Adoption of AI in Cybersecurity to Tackle Advanced Adversaries
2020-11-17,Wipro and Cisco collaborate to deliver SD-WAN Transformation services to Olympus
2020-11-16,"Wipro, SNP SE Enter Into a Strategic Partnership to Accelerate Enterprise Transformation for Customers Globally"
2020-11-13,Topcoder Announces Winners of the 2020 Innovation Awards
2020-11-10,Wipro Wins Five-year Software Engineering Services Engagement from ThoughtSpot
2020-11-02,Wipro and AWS Announce the Launch of Wipro AWS Business Group to Accelerate Growth
2020-10-29,Wipro and IBM strengthen relationship; announce the expansion of IBM Hybrid Cloud Practice
2020-10-28,"Wipro to Acquire Encore Theme Technologies Private Limited, a Specialist Finastra Software Partner in Financial Services"
2020-10-28,Wipro Strengthens Partnership With SAP on Industry Cloud Solutions for Real Estate Sector
2020-10-14,"Wipro shares fall nearly 7% as organic growth, revival plan disappoint"
2020-10-13,Wipro Limited (WIT) Q2 2021 Earnings Call Transcript
2020-10-13,Wipro Ltd. to Host Earnings Call
2020-10-13,P/E Ratio Insights for Wipro
2020-10-13,"Wipro Limited Announces Results for the Quarter Ended September 30, 2020 Under IFRS"
2020-10-13,Recap: Wipro Q2 Earnings
2020-10-12,Earnings Outlook For Wipro
2020-10-08,"Sensex, Nifty rise for sixth session as buyback plans boost TCS, Wipro"
2020-10-06,Wipro (WIT) in Focus: Stock Moves 5.8% Higher
2020-10-05,"Wipro Limited to Announce Results for the Second Quarter Ended September 30, 2020 on October 13, 2020"
2020-09-27,Spirit of Wipro Run Brings Together Thousands of Participants Globally
2020-09-15,Wipro Recognized as a Leader by Everest Group in Healthcare Payer Operations Services PEAK Matrix® Assessment 2020
2020-09-15,Independent Research Firm identifies Wipro as a Leader in Healthcare and Life Sciences Robotic Process Automation
2020-09-15,Independent Research Firm identifies Wipro as a Leader in Healthcare and Life Sciences Robotic Process Automation
2020-09-08,"Wipro Plans to Set up Digital Innovation Hub in Düsseldorf, Germany"
2020-09-08,Marelli Awards Multi-Year Global Automotive Software Engineering Contract to Wipro
2020-09-02,"Wipro Study Finds 95% Business Leaders Consider AI Critical, Yet Only 17% Leverage it Across the Organization"
2020-08-26,WIT or GWRE: Which Is the Better Value Stock Right Now?
2020-08-24,Wipro and Quaternion Partner to Launch Standard Initial Margin Model (SIMM) Solution
2020-08-20,Wipro and Uniper Collaborate to Implement a Blockchain-based Small-scale Liquefied Natural Gas (ssLNG) Trading/fulfilment Platform
2020-08-13,Moving Average Crossover Alert: Wipro
2020-08-06,WIT vs. GWRE: Which Stock Should Value Investors Buy Now?
2020-08-06,Wipro Collaborates with Intel to Drive Business Continuity
2020-08-05,"Wipro Positioned as a 'Leader' in Gartner 2020 Magic Quadrant for Data Center Outsourcing and Hybrid Infrastructure Managed Services, Asia Pacific"
2020-07-30,Wipro Selected as Strategic Partner by Metro Bank to Drive IT Transformation
2020-07-29,Wipro Named a Worldwide Leader in Drug Safety Services by IDC MarketScape
2020-07-28,Wipro Selects Google Cloud to Advance its Digital Transformation Strategy
2020-07-24,"Wipro Limited (WIT) Shares March Higher, Can It Continue?"
2020-07-23,"Wipro to acquire 4C, a leading Salesforce multi-cloud partner in Europe and the Middle East, with deep Quote-to-Cash expertise"
2020-07-23,Wipro to Launch 5G Edge Services Solutions Suite
2020-07-22,"Wipro Positioned as a 'Leader' in Gartner 2020 Magic Quadrant for Data Center Outsourcing and Hybrid Infrastructure Managed Services, North America"
2020-07-21,"Microsoft, Starbucks and Nike opt for show-and-tell to push others to hit net zero carbon emissions"
2020-07-21,"Microsoft, Nike, Unilever team up to combat global carbon emissions"
2020-07-20,WIT vs. TYL: Which Stock Is the Better Value Option?
2020-07-15,"Company News for Jul 15, 2020"
2020-07-15,Indias Stocks Index Pares Gains After Reliance Weighs on Sensex
2020-07-15,"Sensex, Nifty give up nearly all gains as Reliance disappoints"
2020-07-15,"Reliance, Wipro lift Indian shares as vaccine hopes boost optimism"
2020-07-14,Wipro Limited (WIT) Q1 2021 Earnings Call Transcript
2020-07-14,"Wipro Limited Announces Results for the Quarter Ended June 30, 2020 Under IFRS"
2020-07-14,Recap: Wipro Q1 Earnings
2020-07-14,"Wipro to Acquire IVIA Serviços de Informática Ltda, a Specialized IT Services Provider to Financial Services, Retail and Manufacturing Sectors in Brazil"
2020-07-09,"Wipro Limited to Announce Results for the First Quarter Ended June 30, 2020 on July 14, 2020"
2020-07-02,WIT vs. TYL: Which Stock Is the Better Value Option?
2020-06-23,The H-1B Visa Issue Explained
2020-06-23,Wipro awarded infrastructure modernization and digital transformation contract by E.ON
2020-06-16,WIT or TYL: Which Is the Better Value Stock Right Now?
2020-06-15,Wipro Releases the State of IT Infrastructure 2020 Report
2020-06-13,Hedge Funds Are Abandoning Wipro Limited (WIT)
2020-06-12,Wipro Partners with Citrix and Microsoft to Drive Business Continuity for Customers
2020-06-11,Wipro Partners with and Invests in CloudKnox Security to Secure Multi-Cloud and Hybrid Cloud Infrastructure
2020-06-11,Wipro Partners with and Invests in CloudKnox Security to Secure Multi-Cloud and Hybrid Cloud Infrastructure
2020-06-10,Wipro Extends Partnership with VMware to Deliver BoundaryLess Enterprise Solution
2020-06-08,Wipro and IBM Collaborate to Help Clients Accelerate Their Cloud Journeys
2020-06-01,Wipro Annual Report 2020 on Form 20-F Available Online for ADS Holders
2020-05-29,Indian IT firm Wipro names Capgemini's Thierry Delaporte as CEO
2020-05-29,Billionaire Premji Hires Capgeminis Delaporte as Wipro CEO
2020-05-29,Wipro Appoints Thierry Delaporte as CEO & Managing Director
2020-05-29,Wipro Limited Appoints Deepak M Satwalekar to its Board
