2021-01-08,"Xcel Energy (XEL) Rides on Investments, Targets Clean Energy"
2021-01-07,Xcel Energy (XEL) to Redeem 2.4% Senior Notes Worth $400M
2021-01-05,"Xcel Energy Announces Redemption of Outstanding 2.40% Senior Notes, Series Due March 15, 2021"
2020-12-30,Is Xcel Energy (NASDAQ:XEL) Likely To Turn Things Around?
2020-12-28,"TransAlta (TAC) Ups Dividend by 6%, Sells 303 MW of Clean Assets"
2020-12-22,Xcel Energy Year End 2020 Earnings Conference Call
2020-12-19,Is XEL A Good Stock To Buy Now According To Hedge Funds?
2020-12-11,8 Next Energy Solutions as We Pass Peak Oil
2020-12-09,Xcel Energy Inc. Board Declares Dividend on Common Stock
2020-12-04,Does Xcel Energy (NASDAQ:XEL) Deserve A Spot On Your Watchlist?
2020-12-01,Xcel Energy's (XEL) CAPEX & Focus on Clean Energy Bode Well
2020-11-12,CooperCompanies Elects Teresa S. Madden to Board of Directors
2020-11-11,Xcel Energy (NASDAQ:XEL) Has Gifted Shareholders With A Fantastic 141% Total Return On Their Investment
2020-11-03,"Zacks Industry Outlook Highlights: NextEra Energy, Dominion Energy, Duke Energy Corp and Xcel Energy"
2020-11-02,4 Electric Power Stocks to Tap Amid Coronavirus-Led Industry Woes
2020-10-30,Xcel Energy Inc (XEL) Q3 2020 Earnings Call Transcript
2020-10-30,"Pinnacle West (PNW) Beats on Q3 Earnings, Ups 2020 EPS View"
2020-10-30,"Xcel Energy Announces Redemption of Outstanding 2.60% Senior Notes, Series due March 15, 2022"
2020-10-29,Xcel Energy (XEL) Q3 Earnings & Revenues Beat Estimates
2020-10-29,"Xcel Energy, Inc. to Host Earnings Call"
2020-10-29,Xcel Energy: Q3 Earnings Insights
2020-10-29,Xcel Energy (XEL) Surpasses Q3 Earnings and Revenue Estimates
2020-10-29,Xcel Energy Third Quarter 2020 Earnings Report
2020-10-28,"Utility Stock Q3 Earnings Roster for Oct 29: SO, XEL & More"
2020-10-28,What's in the Cards for Xcel Energy (XEL) in Q3 Earnings?
2020-10-23,"Xcel Energy (XEL) Rides on Investments, Targets Clean Energy"
2020-10-22,Xcel Energy (XEL) Earnings Expected to Grow: What to Know Ahead of Next Week's Release
2020-10-20,Atmos Energy and Xcel Energy Set to Join Dow Jones Utility Average
2020-10-16,Northern States Power Company (Wisconsin) -- Moody's announces completion of a periodic review of ratings of Xcel Energy Inc.
2020-10-15,Did Xcel Energy Inc. (NASDAQ:XEL) Use Debt To Deliver Its ROE Of 10%?
2020-10-14,AES vs. XEL: Which Stock Is the Better Value Option?
2020-10-12,Duke Energy (DUK) Announces Long-Term Clean Energy Plan
2020-10-09,Xcel Energy Inc (XEL): Hedge Funds Taking Some Chips Off The Table
2020-09-22,Unpleasant Surprises Could Be In Store For Xcel Energy Inc.'s (NASDAQ:XEL) Shares
2020-09-18,"Xcel Energy's Focus on Clean Energy, Investments Fuel Growth"
2020-09-11,"The Zacks Analyst Blog Highlights: NEE, XEL, EONGY and AWK"
2020-09-08,U.S. utilities say Biden plan to cut C02 hinges on breakthroughs
2020-08-29,Why Is Xcel (XEL) Down 0.5% Since Last Earnings Report?
2020-08-22,What Will It Take For Americans To Switch To EVs?
2020-08-19,How Is Xcel Energy's (NASDAQ:XEL) CEO Paid Relative To Peers?
2020-08-19,Xcel Energy Inc. Board Declares Dividend on Common Stock
2020-08-18,Xcel Energy Elects New Board Member
2020-08-17,"Xcel Energy Gains From Investments, Focuses on Clean Energy"
2020-08-14,Xcel Energy to Expand Electric Vehicle Adoption to Trim Costs
2020-08-14,The 6 Best Solar Stocks to Buy Right Now
2020-08-12,"Xcel plans to power 1.5 million EVs by 2030, sees EVs making up 20% of all vehicles"
2020-08-12,Xcel Energy's new electric vehicle vision to save customers billions while delivering cleaner air
2020-08-11,PNM vs. XEL: Which Stock Should Value Investors Buy Now?
2020-08-01,This Leading Renewable Energy Producer Is Already Looking Beyond Wind and Solar
2020-07-30,Xcel Energy Inc (XEL) Q2 2020 Earnings Call Transcript
2020-07-30,"Xcel Energy (XEL) Q2 Earnings Beat Estimates, Revenues Miss"
2020-07-30,Xcel Energy (XEL) Q2 Earnings Top Estimates
2020-07-30,Xcel Energy Second Quarter 2020 Earnings Report
2020-07-30,Test a Tesla or Buy a Bolt With Help From Your Electric Company
2020-07-28,Xcel Energy continues industry leadership with new climate related reporting
2020-07-24,What's in the Cards for Xcel Energy (XEL) in Q2 Earnings?
2020-07-23,Xcel Energy (XEL) Reports Next Week: What Awaits?
2020-07-16,Were Hedge Funds Right About Xcel Energy Inc (XEL)?
2020-07-08,Xcel Energy (XEL) Completes Phase One of Inspection Process
2020-07-07,"eSmart Systems, Xcel Energy, and EDM International Announce the Successful Completion of Phase One of Xcel Energys Transmission Grid Virtual Inspection Project"
2020-07-07,Xcel Energy 2nd Quarter 2020 Earnings Conference Call
2020-07-07,Dominion Energy Brayton Point -- Moody's affirms Dominion and Dominion Energy Gas Holdings ratings; outlooks stable
2020-07-02,Utilities Power Higher Amid 'Accommodative' Fed Minutes
2020-06-30,Xcel Energy's (XEL) Focus on Clean Energy to Fuel Growth
2020-06-24,Xcel Energy elects new board member as long-time board member retires
2020-06-22,Xcel Energy Proposes to Invest $3B in Adding Renewable Assets
2020-06-22,6 Utilities Boosting Earnings
2020-06-17,Xcel Energy proposes one of largest packages of energy investments in state history
2020-06-15,Hedge Funds Have Never Been This Bullish On Xcel Energy Inc (XEL)
2020-06-15,4 Utility Stocks That are in Focus on Global Wind Day 2020
2020-06-10,4 Utility Stocks That Outdid S&P 500 in Turbulent Times
2020-06-06,Why Is Xcel (XEL) Up 8.8% Since Last Earnings Report?
2020-06-03,The Next Big Obstacle in Renewable Energy Is a Big Opportunity for Investors
2020-06-01,AVA or XEL: Which Is the Better Value Stock Right Now?
2020-05-27,"Xcel Energy ramps up commitment to communities, customers during COVID-19 crisis"
2020-05-26,Xcel Energy's (XEL) Systematic Capital Investments Bode Well
2020-05-25,Edited Transcript of XEL earnings conference call or presentation 7-May-20 2:00pm GMT
2020-05-20,Xcel Energy Inc. Board Declares Dividend on Common Stock
2020-05-20,The Coronavirus Pandemic Is Accelerating the Energy Transition
2020-05-11,Xcel Energy Inc. to Webcast Annual Meeting of Shareholders
2020-05-11,Xcel Energy Inc. Just Missed Revenue By 14%: Here's What Analysts Think Will Happen Next
2020-05-07,Xcel Energy Inc (XEL) Q1 2020 Earnings Call Transcript
2020-05-07,"Evergy (EVRG) Q1 Earnings Beat Estimates, Revenues Miss"
2020-05-07,Xcel Energy (XEL) Q1 Earnings and Revenues Lag Estimates
2020-05-07,Xcel Energy (XEL) Q1 Earnings and Revenues Miss Estimates
2020-05-07,Xcel Energy First Quarter 2020 Earnings Report
2020-05-06,"Utility Stocks' Q1 Earnings Roster for May 7: ED, CNP & More"
2020-05-05,What's in the Cards for Xcel Energy (XEL) in Q1 Earnings?
